ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10480401,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480402,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480403,hide,hide,hide,hide,hide,她把三页纸摊开。纸在桌上自己卷了一下——被撕下来之后失去了书的约束，想重新卷回去。她用两个手指按住纸的两个角。手指很白，指甲很黑。纸在她的手指下面慢慢安静下来。,Corridor,Silent_Night,,,
10480404,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480405,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480406,hide,hide,hide,hide,hide,每一笔。每一个名字。每一个日期。,Corridor,Silent_Night,,,
10480407,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480408,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480409,hide,hide,hide,hide,hide,她的手指在第一页上移动。指着一行密码文字。旁边用铅笔标注了一个很小的数字——六年前的年份。,Corridor,Silent_Night,,,
10480410,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480411,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480412,hide,hide,hide,hide,hide,这是她刚接手俱乐部第一年。组织给她分了第一批货。她收了。但收的方式——你看这个数字。,Corridor,Silent_Night,,,
10480413,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480414,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480415,hide,hide,hide,hide,hide,她指着旁边的一个小数。数字比正常的进货量少了三分之一。,Corridor,Silent_Night,,,
10480416,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480417,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480418,hide,hide,hide,hide,hide,"她在做账的时候就把三分之一抹掉了。不是偷。是""损耗""。货没有流入市场。她把它埋了。在后院的樱花树下面。我亲眼看到的。那年冬天，她一个人在后院挖坑。手冻得通红。埋完之后在上面种了一棵新的草皮。",Corridor,Silent_Night,,,
10480419,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480420,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480421,hide,hide,hide,hide,hide,她翻到第二页。手指指着另一行。,Corridor,Silent_Night,,,
10480422,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480423,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480424,hide,hide,hide,hide,hide,"第二年到第四年。她开始""养人""。俱乐部的女孩——每一个签进来的时候都欠着债。但她私下把利息抹掉了。不是全抹——是抹到刚好能活下去的程度。如果组织查账，看不出来。但如果女孩自己算——会发现少还了很多。",Corridor,Silent_Night,,,
10480425,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480426,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480427,hide,hide,hide,hide,hide,她抬起头。看着我。眼睛在烛光里是深色的——不是黑，是某种很暗的褐色。像浓茶的颜色。,Corridor,Silent_Night,,,
10480428,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480429,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480430,hide,hide,hide,hide,hide,你知道为什么这些女孩愿意为她做任何事吗。不是因为她对她们好。是因为她在组织看不到的地方——给她们留了活路。每一个。包括已经走了的。,Corridor,Silent_Night,,,
10480431,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480432,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480433,hide,hide,hide,hide,hide,她翻到第三页。这一页的字迹和前面不一样——更用力。每一个字的笔画都刻得很深。有些地方纸被笔尖划破了。,Corridor,Silent_Night,,,
10480434,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480435,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480436,hide,hide,hide,hide,hide,第五年到第六年。她开始往外送证据。不是直接送——是通过中介。匿名信。没有回邮地址的信封。寄给报社。寄给警察厅。寄给每一个她认为可能有用的人。大部分被拦截了。但有几封——到了。,Corridor,Silent_Night,,,
10480437,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480438,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480439,hide,hide,hide,hide,hide,她用手指点着页末的一个符号。不是数字。是一个图案——很小，画得很潦草。但仔细看能看出来——是一只鹤。飞起来的鹤。,Corridor,Silent_Night,,,
10480440,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480441,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480442,hide,hide,hide,hide,hide,这是她自己不知道的。我在记录的时候加上的。每一次她往外送一次证据——我就在旁边画一只鹤。这一页——有七只。,Corridor,Silent_Night,,,
10480443,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
