ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10200800,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10200801,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10200802,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10200803,hide,hide,hide,hide,hide,凌晨一点。休息室里的灯管有一根坏了，另一根在挣扎，每隔几秒就微闪一下。空气里有速食面的味道，还有某个女孩留下的护手霜——很便宜的玫瑰香精。神乐坂紫盘腿坐在沙发上，面前摊着一副塔罗牌。牌背是黑色的，上面有金色烫印。已经磨损了。这副牌被用过很多次。,RestRoom,Silent_Night,,,
10200804,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200805,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200806,hide,hide,hide,hide,hide,经理——今天还没人找我占卜。你是第一个。,RestRoom,Silent_Night,,,
10200807,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200808,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200809,hide,hide,hide,hide,hide,她说话的时候没有抬头。手指在牌面上滑动，指甲上的亮片在闪烁的灯光下变换颜色。她今天戴了一对很大的耳环，金属材质的，像两个鸟笼。里面没有鸟。,RestRoom,Silent_Night,,,
10200810,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200811,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200812,hide,hide,hide,hide,hide,……听说第一次准。,RestRoom,Silent_Night,,,
10200813,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200814,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,笑
10200815,hide,hide,hide,hide,hide,谁说的——啊，反正不是假话。第一次准。第二次嘛——就看运气了。,RestRoom,Silent_Night,,,
10200816,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200817,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200818,hide,hide,hide,hide,hide,她把牌拢起来，洗了一遍。洗牌的手法很熟练，牌在她手里像一只黑色的翅膀。翻动的时候有细微的纸片摩擦声。休息室里的暖气管道咯噔响了一下，声音从天花板上传下来。我闻到她身上的味道——泡泡糖和发胶，还有一点点皮革——她那双高跟靴子搭在沙发扶手上，鞋跟已经磨歪了。,RestRoom,Silent_Night,,,
10200819,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200820,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200821,hide,hide,hide,hide,hide,好了。抽三张。,RestRoom,Silent_Night,,,
10200822,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200823,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200824,hide,hide,hide,hide,hide,我伸出手。手指在牌面上方停了一秒。不是犹豫——是指尖感觉到了某种温度差。牌是凉的。但有些牌——不是。我抽了三张。放在茶几上。茶几的玻璃面上有杯底的圆印，不知道多久没擦了。,RestRoom,Silent_Night,,,
10200825,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200826,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,翻开第一张
10200827,hide,hide,hide,hide,hide,逆位的高塔——,RestRoom,Silent_Night,,,
10200828,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200829,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200830,hide,hide,hide,hide,hide,她的语气变了。很微妙。像是正在说笑话的人突然想起来一件不太好的事。但很快又恢复了。她用指尖点了点那张牌上的图案——一座塔，被闪电劈中，有人从塔上坠落。,RestRoom,Silent_Night,,,
10200831,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200832,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200833,hide,hide,hide,hide,hide,不是坏事。逆位的高塔——不是崩塌，是避免了崩塌。或者说，崩塌已经发生了，你在废墟里，但你还站着。,RestRoom,Silent_Night,,,
10200834,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200835,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200836,hide,hide,hide,hide,hide,她翻开第二张。手指停住了。,RestRoom,Silent_Night,,,
10200837,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200838,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200839,hide,hide,hide,hide,hide,宝剑骑士——逆位。一个骑马的人。冲得太快。不看路。剑是钝的。,RestRoom,Silent_Night,,,
10200840,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200841,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200842,hide,hide,hide,hide,hide,她没有继续解释。把第二张推到一边，翻开第三张。她的手势比之前慢。像是翻开之前已经知道会看到什么。,RestRoom,Silent_Night,,,
10200843,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200844,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10200845,hide,hide,hide,hide,hide,月亮——正位。,RestRoom,Silent_Night,,,
