ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10150501,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10150502,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10150503,hide,hide,hide,hide,hide,傍晚五点半。距开店还有半小时。我拿着酒水单在走廊里核对库存，一个男人从前门走进来。,Corridor,Mixed_Emotion,,,
10150504,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10150505,hide,hide,hide,hide,hide,他没有预约。没有按门铃。前台当时在接另一通电话，还没来得及拦住他。他就这样走进来了——像走进自己家的客厅。,Club_lobby,Mixed_Emotion,,,
10150506,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10150507,hide,hide,hide,hide,hide,是个五十多岁的男性。头发灰白。穿着一件深灰色的西装，质地非常好，没有品牌标识。手里拿着一张名片大小的黑色卡片，边缘烫着一层暗金色的花纹——和上次银鹮姬给我看的那张凤凰卡一模一样。前台看到他之后，整个表情在零点几秒内变了——不是恐惧，是那种在认出面前的人之后就立即放弃了所有判断。她没说话。只是低下了头。那个人甚至没有看前台。径直走向白鹤姬的房间。,Jan_Room,Coming_Dangerous,,,
10150508,hide,hide,hide,hide,hide,,Jan_Room,Coming_Dangerous,,,
10150509,hide,hide,hide,hide,hide,白鹤姬站在房门口。早已在那里了——她没有出来迎接他，也没有开房门。她站在那里像早就知道他会在这个时间走进来似的。他微微欠身。她比他更轻地点了一下头。他走进了她的房间。她跟进去的时候回头看了我一眼。,Jan_Room,Coming_Dangerous,,,
10150510,hide,hide,hide,hide,hide,,Jan_Room,Coming_Dangerous,,,
10150511,hide,hide,hide,hide,hide,"那个眼神不发问。也不解释。和昨晚给了茶室钥匙之后说的""你可以做主了""是同一个温度——你现在是这里的人。所以你也可以看到这里不该被看到的。不用我挡。不用我藏。",Jan_Room,Coming_Dangerous,,,
10150512,hide,hide,hide,hide,hide,,Jan_Room,Coming_Dangerous,,,
10150513,hide,hide,hide,hide,hide,房门关上了。走廊里恢复了安静。但他的存在感还留在空气里——那种高档西装上残留的高级衣料的气息，混着一股很淡的古龙水和旧皮革钱包中的烟草味。像一只掠过水面的鸟。你只看到了一片羽毛，但知道它的翅膀还在附近。,Corridor,Silent_Night,,,
10150514,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150515,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
