ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10340301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10340302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10340303,hide,hide,hide,hide,hide,清晨的光还没热起来。窗户开着一条缝，外面有烧麦茶的焦香飘进来。是楼下阿婆又在煮茶了。我面前摊着六十天里攒下的全部死者记录——纸张已经卷了边，有些地方被咖啡渍浸成浅褐色。,Cafe,Silent_Night,,,
10340304,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340305,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340306,hide,hide,hide,hide,hide,重新看一遍。一个一个看。姓名、年龄、死因、死亡时间、发现地点。起初看不出规律。都是中年男人，都死得不算体面。有的死在旅馆，有的死在公园长椅上，有的漂在河里。,Cafe,Silent_Night,,,
10340307,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340308,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340309,hide,hide,hide,hide,hide,手指划到第四个名字的时候，停住了。这个人的尸检报告我见过——胃内容物里有未消化的茶泡饭。第八个也有。第十三个也有。不是茶泡饭，是某种药物代谢后的残留痕迹。同一个医生签字的死亡证明。,Cafe,Silent_Night,,,
10340310,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340311,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340312,hide,hide,hide,hide,hide,我翻开佐藤留下的笔记本。他在某一页用铅笔写了很小的一行字：「堀江診療所」。字迹潦草，像是临时记下的。我把他笔记本里的名单和我的对照。八个死者。八张死亡证明。同一个诊所。,Cafe,Silent_Night,,,
10340313,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340314,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340315,hide,hide,hide,hide,hide,茶香又飘进来。这次带了一点焦味，大概是阿婆走神了。我站起来关窗。手在窗框上停了很久。这扇窗户外面是普通的大阪早晨。窗户里面，是一份越来越长的名单。,Cafe,Silent_Night,,,
10340316,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340317,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340318,hide,hide,hide,hide,hide,纸页翻动的声音在安静的房间里很响。我把所有死者的死亡日期抄在一张白纸上，画了一个时间轴。日期散落在不同月份，没有明显的规律。但当我用铅笔标出农历，手停住了。满月。每一个都在满月前后。,Cafe,Silent_Night,,,
10340319,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
