ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580601,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10580602,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10580603,hide,hide,hide,hide,hide,"深夜。俱乐部已经打烊了。但今晚没有客人。明天晚上是""极乐之夜""的晚宴——今晚是最后的准备。走廊里很安静。但休息室的灯还亮着。茶几上的托盘还在。十二个杯子——八个空的，四个凉的。没有人收走。",Corridor,Mixed_Emotion,,,
10580604,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580605,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580606,hide,hide,hide,hide,hide,空气里的大麦茶香还没散。那种焦焦的苦味粘在了窗帘和沙发套上。育子在走廊里擦地板——不是储物间的，是休息室门口的。她大概又睡不着。抹布在地板上发出很钝的摩擦声。,Corridor,Mixed_Emotion,,,
10580607,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580608,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580609,hide,hide,hide,hide,hide,夏实在舞台上。这次不是鞠躬。她坐在舞台边缘，两条腿悬在舞台外面。手里握着一个空杯子——她自己那杯。她把杯子对着吊灯看。杯底有很细的裂纹。光从裂纹里漏出来，在她脸上画了几条很细的白线。,Corridor,Mixed_Emotion,,,
10580610,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580611,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580612,hide,hide,hide,hide,hide,"景子在前台。她在核对明天的座位卡——育子排的那一版。她的手指在卡片上慢慢移。移到""白鹤姬""的时候停了一下。然后继续移。移到""黑羽哲也""的时候又停了。她看着那个名字。看了大概十秒钟。然后把卡片放回去。",Club_lobby,Mixed_Emotion,,,
10580613,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10580614,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10580615,hide,hide,hide,hide,hide,紫在天台上。她没有抽烟。只是站在那里，看着街对面的公寓楼。鸟笼放在脚边——今天从公寓拎来的。乌鸦蹲在角落里，头埋在翅膀下面。紫把手指伸进笼子，碰了碰它的羽毛。乌鸦动了一下。没有醒。,Rooftop,Mixed_Emotion,,,
10580616,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10580617,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10580618,hide,hide,hide,hide,hide,春奈在休息室里。她没有摘面具。她戴着一个——不是狐狸的。是空白的。白色的，没有任何图案。她对着镜子看着自己的脸。没有表情。不是因为她没有做表情——是因为面具上没有表情。她把面具取下来。下面是她自己的脸。没有化妆。她在镜子里看着自己。看了很久。然后把面具放回化妆包里。拉链拉上。,RestRoom,Mixed_Emotion,,,
10580619,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580620,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580621,hide,hide,hide,hide,hide,雪代在茶室。她面前放着一杯茶——不是那十二杯里的。是另外泡的。她看着茶。没有喝。窗外的月光从格栅里漏进来，在地板上画了几道平行的白线。她坐在月光和阴影之间。半边脸在光里，半边在暗处。她伸出手，指尖碰了碰茶杯的边沿。不是端——是碰。像育子碰那杯凉茶一样。确认它是真的。,RestRoom,Mixed_Emotion,,,
10580622,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580623,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580624,hide,hide,hide,hide,hide,走廊里，育子擦到了最后一个方格。她直起腰。膝盖上又有红印。她把抹布放进水桶。水已经凉了。她拎起水桶。走到休息室门口。看了一眼茶几上的托盘。十二个杯子还在。四个凉了的杯子——茶面上起了一层很薄的膜。她没有进去。只是站在门口看了一会儿。然后她拎着水桶，走回储物间。,Corridor,Mixed_Emotion,,,
10580625,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580626,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580627,hide,hide,hide,hide,hide,走廊里剩下大麦茶的味道。和水桶提手碰撞桶壁的声响。很轻。很有节奏。像某种已经开始的、不会再停下来的东西。,Corridor,Mixed_Emotion,,,
10580628,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
