ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040401,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040402,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040403,hide,hide,hide,hide,hide,下午两点十分。,BedStore,Warm_Encounter,,,
10040404,hide,hide,hide,hide,hide,我站在俱乐部附近那条拱廊商店街的入口。,ShoppingStreet,Warm_Encounter,,,
10040405,hide,hide,hide,hide,hide,头顶的拱形遮阳棚已经褪成了灰白色，边缘的锈迹像枫叶一样蔓延。两侧挤着杂货铺、药妆店、古本屋。,ShoppingStreet,Warm_Encounter,,,
10040406,hide,hide,hide,hide,hide,"街的尽头是一家寝具店。玻璃门上贴着""决算特卖""的手写海报。",BedStore,Warm_Encounter,,,
10040407,hide,hide,hide,hide,hide,推门进去。新布料的气味混着防虫剂的味道。,BedStore,Warm_Encounter,,,
10040408,hide,hide,hide,hide,hide,店里比想象中大。从地板摞到天花板的床垫、枕头、羽绒被，把空间挤压成一座软绵绵的迷宫。,BedStore,Warm_Encounter,,,
10040409,hide,hide,hide,hide,hide,走到床垫区。挑了个最便宜的单人款，用手按了按——硬度适中。,BedStore,Warm_Encounter,,,
10040410,hide,hide,hide,hide,hide,店员费力地把床垫从货架上拖下来。这时候店门再次被推开，风铃响了。,BedStore,Warm_Encounter,,,
10040411,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040412,小澪,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040413,hide,hide,hide,hide,hide,妈妈！你看那个——有只猫的图案的！,BedStore,Warm_Encounter,,,
10040414,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040415,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040416,hide,hide,hide,hide,hide,我回头。门口站着一个穿校服的女孩，十四五岁，扎着马尾，手指着货架上一条印着猫图案的毛毯。,BedStore,Warm_Encounter,,,
10040417,hide,hide,hide,hide,hide,牵着她的手的女人——我认出来了。,BedStore,Warm_Encounter,,,
10040418,hide,hide,hide,hide,hide,是谷川景子。没有俱乐部里的暗红色制服和妆容。米色开衫，深蓝长裙，头发随意扎在脑后。几乎素颜。,BedStore,Warm_Encounter,,,
10040419,hide,hide,hide,hide,hide,"卸下""巢燕姬""面具之后，她看起来只是一个疲惫的母亲。眼角细纹，嘴唇颜色很淡。",BedStore,Warm_Encounter,,,
10040420,hide,hide,hide,hide,hide,她看见了我。愣了一下。然后下意识把女儿往身后拉了拉。,BedStore,Warm_Encounter,,,
10040421,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040422,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040423,hide,hide,hide,hide,hide,……黑羽经理。,BedStore,Warm_Encounter,,,
10040424,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040425,hide,hide,hide,hide,hide,,BedStore,Warm_Encounter,,,
10040426,hide,hide,hide,hide,hide,声音明显紧张。我没说破——她大概在担心我是来跟踪她的。,BedStore,Coming_Dangerous,,,
10040427,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040428,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040429,hide,hide,hide,hide,hide,买床垫。公寓里什么都没有。,Apartment,Coming_Dangerous,,,
10040430,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040431,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040432,hide,hide,hide,hide,hide,指了指店员正在打包的床垫。她看了看床垫，又看了看我，肩膀微微放松了一点。,BedStore,Coming_Dangerous,,,
10040433,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040434,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040435,hide,hide,hide,hide,hide,这样啊……公寓里连床垫都没有吗。,Apartment,Coming_Dangerous,,,
10040436,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040437,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040438,hide,hide,hide,hide,hide,语气从警惕变成了某种自然而然流露的担忧。在俱乐部里她很少这样说话。,Apartment,Coming_Dangerous,,,
10040439,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040440,小澪,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040441,hide,hide,hide,hide,hide,妈妈，这个叔叔是谁呀？,Apartment,Coming_Dangerous,,,
10040442,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040443,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040444,hide,hide,hide,hide,hide,小女孩从妈妈身后探出半个脑袋。,Apartment,Coming_Dangerous,,,
10040445,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040446,巢燕姬·谷川景子,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040447,hide,hide,hide,hide,hide,是妈妈工作地方的……经理。叫黑羽叔叔。,Apartment,Coming_Dangerous,,,
10040448,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040449,小澪,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040450,hide,hide,hide,hide,hide,黑羽叔叔好！,Apartment,Coming_Dangerous,,,
10040451,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040452,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
