ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10110401,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110402,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110403,hide,hide,hide,hide,hide,下午两点。京都医科大学附近的咖啡馆。,Cafe,Mixed_Emotion,,,
10110404,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110405,hide,hide,hide,hide,hide,和俱乐部附近那条拱廊商店街完全不同——这里没有章鱼烧酱汁的焦香，没有褪色的促销海报。只有咖啡豆研磨机的嗡鸣声和学生们翻动纸页的沙沙声。空气中飘着一股深度烘焙的焦苦味，混着旧书纸的木浆味。,ShoppingStreet,Mixed_Emotion,,,
10110406,hide,hide,hide,hide,hide,,ShoppingStreet,Mixed_Emotion,,,
10110407,hide,hide,hide,hide,hide,我在靠窗的位置坐下，点了一杯不加糖的黑咖啡。来这里不是为了喝咖啡——医科大学保存了雪鹤姬当年资助学生的部分档案。但校务处下午两点半才开门。,Cafe,Mixed_Emotion,,,
10110408,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110409,hide,hide,hide,hide,hide,门上的风铃响了。,Cafe,Mixed_Emotion,,,
10110410,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110411,hide,hide,hide,hide,hide,星野葵走进来。棕色的波波头短发，细框眼镜。今天没有穿俱乐部的米白色礼服——一件浅棕色的开衫，里面是素色的白T恤。肩上挎着一只装满了书的帆布袋。十字形发卡在咖啡店的日光灯下反射着一点光泽。,Cafe,Mixed_Emotion,,,
10110412,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110413,hide,hide,hide,hide,hide,她在柜台前点单的时候看到了我。停了一秒。然后端着自己的杯子走过来。,Cafe,Mixed_Emotion,,,
10110414,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110415,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110416,hide,hide,hide,hide,hide,……没想到会在这里碰到你。,Cafe,Mixed_Emotion,,,
10110417,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
