ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10360401,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10360402,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10360403,hide,hide,hide,hide,hide,下午两点。休息室里很静。不是平时那种营业前的忙乱——是台风前的静。走廊里的吸尘器停了，换气扇的低频嗡鸣显得格外清楚。空气里有洗衣液的味道，还有更淡的——婴儿洗衣液特有的那种奶香。南梨一直用那个牌子。,Corridor,Unreal_Memory,,,
10360404,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10360405,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10360406,hide,hide,hide,hide,hide,她站在自己的衣柜前。柜门全开，里面已经空了。所有东西都装进了一个旧行李箱——淡蓝色的，边角磨成了白色，行李箱拉杆上系了一根褪色的红绳，大概是以前在涉谷某个神社求的。她把行李箱立起来，拉杆还没拉出来。,Corridor,Unreal_Memory,,,
10360407,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10360408,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10360409,hide,hide,hide,hide,hide,但她没有走。她站在空柜子前面，盯着柜子底部的角落。那里有一小片浅蓝色——大概是某次换衣服的时候，蝴蝶结的内衣蹭掉的一根线头。她蹲下去，把那根线头捡起来。放在手心里。看了很久。,Corridor,Unreal_Memory,,,
10360410,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10360411,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10360412,hide,hide,hide,hide,hide,他转到了临终关怀病房。,Hospital,Unreal_Memory,,,
10360413,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10360414,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10360415,hide,hide,hide,hide,hide,她说话的时候，手指把那根线头缠在食指上。绕了两圈。然后松开。线头落在手心里，被她握住了。,Hospital,Unreal_Memory,,,
10360416,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10360417,早莺姬·小野南梨,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10360418,hide,hide,hide,hide,hide,医生说可能还有一两个月。也可能更快。他说不想在医院里等。临终关怀病房有窗户，能看到山。不是很大的山——就一小片。他说那就可以了。,Hospital,Unreal_Memory,,,
10360419,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10360420,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
