ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570603,hide,hide,hide,hide,hide,傍晚的光线从衣帽间的小窗户里斜进来。橙色的，很窄的一条。照在对面的墙上。衣帽间里有一股洗衣粉和烘干机的味道。还有更淡的——景子身上的那种洗了很多次的洗衣粉味。和这里的洗衣粉不是同一个牌子。,Corridor,Silent_Night,,,
10570604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570605,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570606,hide,hide,hide,hide,hide,景子站在毛巾架前。她在叠毛巾。不是俱乐部里的工作——衣帽间的毛巾是女孩们自己用的。粉色的，白色的，浅蓝色的。她一条一条拿起来，对折，再对折，放在架子上。动作很慢。很稳。和第一天一样。,Corridor,Silent_Night,,,
10570607,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570608,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570609,hide,hide,hide,hide,hide,我靠在门框上。她没有转头。但她的手指在叠一条粉色毛巾的时候停了一下。,Corridor,Silent_Night,,,
10570610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570611,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570612,hide,hide,hide,hide,hide,第一天来的时候，我也是在叠毛巾。,Corridor,Silent_Night,,,
10570613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570614,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570615,hide,hide,hide,hide,hide,她把粉色毛巾放好。拿起一条白色的。展开。对折。再对折。毛巾边缘有一小段线头，她用指尖把它塞进去。,Corridor,Silent_Night,,,
10570616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570617,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570618,hide,hide,hide,hide,hide,"那时候雪代姐说——""你把毛巾叠成这样，客人以为这里是医院。""我笑了。不是觉得好笑。是紧张。第一天上班，被人挑毛病，不知道该道歉还是该笑。",Hospital,Coming_Dangerous,,,
10570619,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570620,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570621,hide,hide,hide,hide,hide,她把白色毛巾放好。拿起最后一条——浅蓝色的。这条颜色和南梨那条围巾很像。她拿着它。没有马上叠。,Hospital,Coming_Dangerous,,,
10570622,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570623,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570624,hide,hide,hide,hide,hide,"后来雪代姐说——""不过没关系。叠得整齐就是叠得整齐。客人不会因为毛巾太整齐就不来。""",Hospital,Coming_Dangerous,,,
10570625,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570626,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570627,hide,hide,hide,hide,hide,她开始叠那条浅蓝色的。对折。对折。放在架子上。和其他所有毛巾排成一条线。她退后一步。看着那一排毛巾。粉白蓝粉白蓝。整齐得像用尺子量过。,Hospital,Coming_Dangerous,,,
10570628,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570629,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10570630,hide,hide,hide,hide,hide,"小澪今天在学校。我早上送她去的。她说""妈妈你明天来接我吗""。我说""后天来接你""。她问为什么。我说妈妈明天有工作。她说""那后天一定要来""。我说好。",Hospital,Mixed_Emotion,,,
10570631,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10570632,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10570633,hide,hide,hide,hide,hide,她转过身来。看着我。脸上的表情很平静。但她的眼睛——不是平静。是已经哭过之后的那种干涸。不是今天哭的。大概是昨晚。或者今早。或者更早。她已经哭完了。现在剩下的是某种比泪水更硬的东西。,Hospital,Melancholy_Rain,,,
10570634,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10570635,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10570636,hide,hide,hide,hide,hide,明天晚上——我不在这里。小澪也不在这里。但那条毛巾——（她指了指架子上那条浅蓝色的）——那条毛巾会在。,Hospital,Melancholy_Rain,,,
10570637,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10570638,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10570639,hide,hide,hide,hide,hide,窗外的光移了。那条橙色的光带从墙上滑到了地板上。衣帽间里的洗衣粉味越来越淡。被傍晚的冷空气盖过了。景子从我身边走过去。走到门口的时候停了。,Hospital,Unreal_Memory,,,
10570640,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10570641,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10570642,hide,hide,hide,hide,hide,第一天叠毛巾的时候，我不知道自己能在这里待这么久。现在我知道了。不是待——是活。在这里，在这个地方，和这些人。我活了比之前三十年都多的东西。,Hospital,Unreal_Memory,,,
10570643,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10570644,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10570645,hide,hide,hide,hide,hide,她走了。走廊里传来她的脚步声。不重。很稳。衣帽间里剩下洗衣粉的味道。和那一排整整齐齐的毛巾。粉的。白的。浅蓝的。和第一天一样。但不一样。因为今天是最后一次。,Corridor,Unreal_Memory,,,
10570646,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
