ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10050501,hide,hide,hide,hide,hide,下午四点半，营业前的准备时间，走廊里飘来发胶和香水的味道，化妆间的灯光把门缝照成一条金色的线。,Corridor,Mixed_Emotion,,,
10050502,hide,hide,hide,hide,hide,我去检查休息室的备品——毛巾数量、瓶装水库存、花瓶里的花是否新鲜，路过化妆间时，门半开着。,Corridor,Mixed_Emotion,,,
10050503,hide,hide,hide,hide,hide,里面是早莺姬·小野南梨。,DressingRoom,Mixed_Emotion,,,
10050504,hide,hide,hide,hide,hide,她坐在镜子前，正在往手臂上打粉底。,DressingRoom,Mixed_Emotion,,,
10050505,hide,hide,hide,hide,hide,左边的袖子卷到肘部，小臂内侧有一块淤青——不是旧的黄褐色，是新鲜的青紫色，边缘还没散开。,DressingRoom,Mixed_Emotion,,,
10050506,hide,hide,hide,hide,hide,她用海绵扑了一层粉，又扑了一层，粉底盖不住，她换了一款遮瑕膏，用指腹点上去，轻轻晕开。,DressingRoom,Mixed_Emotion,,,
10050507,hide,hide,hide,hide,hide,我从门外往里走了一步，地板发出轻微的声响，她在镜子里看到了我。,DressingRoom,Mixed_Emotion,,,
10050508,hide,hide,hide,hide,hide,她没有缩。反而笑了。,DressingRoom,Mixed_Emotion,,,
10050509,早莺姬·小野南梨,hide,hide,hide,hide,经理！我在补妆啦，不要偷看女生化妆！,DressingRoom,Mixed_Emotion,,,
10050510,hide,hide,hide,hide,hide,声音很明亮，太明亮了。突然让我莫名想起之前刚接完莉香电话的我自己。,DressingRoom,Mixed_Emotion,,,
10050511,我,hide,hide,hide,hide,……今天来得挺早。,DressingRoom,Mixed_Emotion,,,
10050512,早莺姬·小野南梨,hide,hide,hide,hide,嗯，今天有位客人预订了很久，我想早点准备。对了经理，昨晚谢谢你帮我叫车，车费……我下周发工资还你。,DressingRoom,Mixed_Emotion,,,
10050513,我,hide,hide,hide,hide,不用，公司报销。,DressingRoom,Mixed_Emotion,,,
10050514,hide,hide,hide,hide,hide,她抬头看了我一会儿，似乎想说什么，但是没有开口。随后低头继续遮瑕起来，海绵在皮肤上轻轻拍打的声音，安静了一会儿。,DressingRoom,Silent_Night,,,
10050515,hide,hide,hide,hide,hide,化妆间里的灯管嗡嗡地响，镜子上的水银斑把她的脸切成几块不连贯的光。她从镜子里看我——不是回头看我，是借着镜面的反射，像是在确认我还在，又像是不想让我发现她在看我。,DressingRoom,Silent_Night,,,
10050516,hide,hide,hide,hide,hide,她把海绵放下来，手指按在遮瑕膏的盖子上，没有拧开。,DressingRoom,Silent_Night,,,
10050517,hide,hide,hide,hide,hide,——第一次发问。,DressingRoom,Silent_Night,,,
10050518,早莺姬·小野南梨,hide,hide,hide,hide,……经理。,DressingRoom,Silent_Night,,,
10050519,我,hide,hide,hide,hide,嗯。,DressingRoom,Silent_Night,,,
10050520,早莺姬·小野南梨,hide,hide,hide,hide,你觉得……一个人会变吗。,DressingRoom,Silent_Night,,,
10050521,hide,hide,hide,hide,hide,她的手停住了，镜子里的她看着我，眼睛眨了两下。,DressingRoom,Silent_Night,,,
10050522,hide,hide,hide,hide,hide,——第一次微选择。,DressingRoom,Silent_Night,,,showChoice:1A:大概会吧|1B:看情况吧|1C:不太会
10050523,hide,hide,hide,hide,hide,☆☆☆ 微选择1：你觉得一个人会变吗 ☆☆☆,DressingRoom,Silent_Night,,,
10050524,我,hide,hide,hide,hide,……大概会吧。,DressingRoom,Silent_Night,,,choiceResult:1A
10050525,hide,hide,hide,hide,hide,她听到了，嘴角动了一下，像是想笑但没笑出来。,DressingRoom,Silent_Night,,,
10050526,早莺姬·小野南梨,hide,hide,hide,hide,嗯……大概会吧。也许他也能变回来。,DressingRoom,Silent_Night,,,
10050527,hide,hide,hide,hide,hide,她说"也许"的时候，声音微微往上走了一步，像踩在台阶的边缘——不是确定，是希望。但希望很轻。轻到遮瑕膏的盖子掉在了地上，她没去捡。,DressingRoom,Silent_Night,,,
