ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10130101,hide,hide,hide,hide,hide,我快步走过去。,Club_outside_night,,,,
10130102,我,hide,hide,OnoNami_casual,hide,南梨。,Club_outside_night,,,,
10130103,hide,hide,hide,OnoNami_casual,hide,她吓了一跳，转过身来。,Club_outside_night,,,,
10130104,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,经、经理？,Club_outside_night,,,,
10130105,我,hide,hide,OnoNami_casual,hide,这个时间没有地铁了。,Club_outside_night,,,,
10130106,hide,hide,hide,OnoNami_casual,hide,我招手拦下一辆刚好路过的空出租车。,Club_outside_night,,,,
10130107,我,hide,hide,OnoNami_casual,hide,上车吧。,Club_outside_night,,,,
10130108,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,不行不行！车费太贵了！我自己找地方住就——,Club_outside_night,,,,
10130109,hide,hide,hide,OnoNami_casual,hide,她慌乱地摆着手。,Club_outside_night,,,,
10130110,我,hide,hide,OnoNami_casual,hide,没关系的，公司报销。,Club_outside_night,,,,
10130111,hide,hide,hide,OnoNami_casual,hide,我打开车门。,Club_outside_night,,,,
10130112,hide,hide,hide,OnoNami_casual,hide,说是公司报销，但是就目前的情况万一因为小小的财务问题招惹到白鹤姬注意就不好了。,Club_outside_night,,,,
10130113,hide,hide,hide,OnoNami_casual,hide,所以其实还是我自己掏，不过，大阪警局应该会帮我承担。,Club_outside_night,,,,
10130114,hide,hide,hide,OnoNami_casual,hide,她愣住了。几秒后，眼睛又红了。,Club_outside_night,,,,
10130115,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,谢谢您……,Club_outside_night,,,,
10130116,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,真的……谢谢……,Club_outside_night,,,,
10130117,hide,hide,hide,OnoNami_casual,hide,她钻进车里，小声说道。,Club_outside_night,,,,
10130118,hide,hide,hide,OnoNami_casual,hide,出租车启动前，她摇下车窗，看着我说。,Club_outside_night,,,,
10130119,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,经理，您是个好人。,Club_outside_night,,,,
10130120,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,但是在这里……,Club_outside_night,,,,
10130121,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,好人都不会特别开心……,Club_outside_night,,,,
10130122,早莺姬·小野南梨,hide,hide,OnoNami_casual,hide,我有点担心您……,Club_outside_night,,,,
10130123,我,hide,hide,OnoNami_casual,hide,没关系，谢谢你的担心。,Club_outside_night,,,,
10130124,hide,hide,hide,hide,hide,车窗摇上，出租车汇入深夜的车流。,Club_outside_night,,,,
10130125,hide,hide,hide,hide,hide,我站在原地，直到尾灯消失在街角。,Club_outside_night,,,,
10130126,hide,hide,hide,hide,hide,走回公寓的路上，手机震动了。,Home_night_corrider,Mixed_Emotion,,,
10130127,hide,hide,hide,hide,hide,是小林莉香发来的消息。,Home_night_corrider,,,,
10130128,消息界面,hide,hide,hide,hide,今天很忙吗？都没消息。,Home_night_corrider,,,,
10130129,hide,hide,hide,hide,hide,我盯着屏幕看了很久，最终回复。,Home_night_corrider,,,,
10130130,我,hide,hide,hide,hide,嗯，有点忙。你早点休息。,Home_night_corrider,,,,
10130131,hide,hide,hide,hide,hide,发送。,Home_night_corrider,,,,
10130132,hide,hide,hide,hide,hide,没有已读提示。也许她已经睡了。,Home_night_corrider,,,,
10130133,hide,hide,hide,hide,hide,我收起手机，抬头看了看天空。,Home_night_corrider,,,,
10130134,hide,hide,hide,hide,hide,大阪的夜空很少有星星。只有厚厚的云层，和远处霓虹灯染出的暗红色光晕。,Home_night_corrider,,,,
10130135,hide,hide,hide,hide,hide,我想起小野南梨最后那句话。,Home_night_corrider,,,,
10130136,hide,hide,hide,hide,hide,"好人都不会特别开心……",Home_night_corrider,,,,
10130137,hide,hide,hide,hide,hide,也许她是对的。,Home_night_corrider,,,,
