ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10080400,hide,hide,hide,hide,hide,"他说增田以前经常开玩笑——""如果我出了什么事，店就拜托你了。""那时候他以为是玩笑。",RamenShop,Unreal_Memory,,,
10080401,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080402,hide,hide,hide,hide,hide,不是玩笑。增田课长从不开玩笑。,RamenShop,Unreal_Memory,,,
10080403,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080404,hide,hide,hide,hide,hide,我端起那杯烧酒。没喝。放在增田的杯子旁边。两个杯子并排站在柜台上，像两个永远不会碰杯的人。,RamenShop,Unreal_Memory,,,
10080405,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080406,hide,hide,hide,hide,hide,翻盖机震动了。不是新闻推送。,RamenShop,Unreal_Memory,,,
10080407,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080408,hide,hide,hide,hide,hide,发件人代号：佐藤。,RamenShop,Unreal_Memory,,,
10080409,hide,hide,hide,hide,hide,"内容：""增田的联络人权限已移交。从今日起，我是你的新接头人。今晚十二点前发送第一份加密报告。没有回复代表已读。""",RamenShop,Unreal_Memory,,,
10080410,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080411,hide,hide,hide,hide,hide,"佐藤正义。搜查一课那个据说""因为在查不该查的事被边缘化""的刑警。增田提过一次。只有一次。",RamenShop,Unreal_Memory,,,
10080412,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080413,hide,hide,hide,hide,hide,"我回复：""了解。""",RamenShop,Unreal_Memory,,,
10080414,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080415,hide,hide,hide,hide,hide,然后把翻盖机合上。付了酒钱。老板没收。他说增田已经提前付过了——这周的酒钱他上周就全给了。像是在安排后事。或者只是习惯性地提前买单。没人知道了。,RamenShop,Unreal_Memory,,,
10080416,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080417,hide,hide,hide,hide,hide,走出滨之灯的时候，早晨已经变成了上午。阳光把商店街的遮阳棚照得发光。一切都在正常运行——药妆店的卷帘门已经全开，便利店的自动门在叮咚作响，古本屋的老板在门口浇花。全是与死亡无关的事。,ShoppingStreet,Unreal_Memory,,,
10080418,hide,hide,hide,hide,hide,,ShoppingStreet,Unreal_Memory,,,
10080419,hide,hide,hide,hide,hide,我已经没有后援了。佐藤是什么样的人，我不知道。但增田是我在这里唯一能相信的人。现在他也不在了。,ShoppingStreet,Unreal_Memory,,,
10080420,hide,hide,hide,hide,hide,,ShoppingStreet,Unreal_Memory,,,
10080421,hide,hide,hide,hide,hide,翻盖机屏幕上的时间跳到八点十五分。,ShoppingStreet,Unreal_Memory,,,
10080422,hide,hide,hide,hide,hide,,ShoppingStreet,Unreal_Memory,,,
10080423,hide,hide,hide,hide,hide,下午还有预约要排。晚上还有俱乐部要管。明天还有卧底要继续。,ShoppingStreet,Unreal_Memory,,,
10080424,hide,hide,hide,hide,hide,,ShoppingStreet,Unreal_Memory,,,
10080425,hide,hide,hide,hide,hide,我把翻盖机放进口袋。朝公寓的方向走。步伐和来的时候一样。只是每一步都沉了一点。,Apartment,Unreal_Memory,,,
10080426,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10080427,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10080401,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10080402,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
