ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580401,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580402,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580403,hide,hide,hide,hide,hide,下午三点。雪代出现在休息室门口。她端着一个托盘。托盘上放着十二个茶杯。不是平时那种随随便便的马克杯——是茶道用的那种。杯身是青色的，杯底有很细的裂纹。每一个都倒满了。大麦茶。热气从杯口升起来，在她的下巴附近聚成一片很薄的雾。,RestRoom,Mixed_Emotion,,,
10580404,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580405,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580406,hide,hide,hide,hide,hide,空气里立刻充满了大麦茶的焦香。不是那种精致的煎茶或抹茶——是便宜的，把大麦炒焦了之后煮出来的那种香。带一点点苦。这种味道在整个俱乐部里出现过无数次。但这一次——这一次不一样。因为托盘上有十二杯。,RestRoom,Mixed_Emotion,,,
10580407,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580408,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580409,hide,hide,hide,hide,hide,都过来。,RestRoom,Mixed_Emotion,,,
10580410,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580411,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580412,hide,hide,hide,hide,hide,她的声音和平时一样。平稳，精确。没有提高。没有放轻。她把托盘放在休息室中央的茶几上。茶杯碰到木托盘，发出很轻的瓷器声。所有人陆续走进来。育子。紫。夏实。彩和瞳——彩拉着瞳的手。景子。春奈。她们围着茶几坐下。沙发上，椅子上，地上。没有人说话。,RestRoom,Mixed_Emotion,,,
10580413,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580414,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580415,hide,hide,hide,hide,hide,雪代站在茶几旁边。她今天没有穿和服。穿了一件深蓝色的便装。头发没有盘起来，披在肩上。没有戴那支白色羽毛发饰。她低头看着那十二杯茶。看了一会儿。然后抬起头。环顾了一圈。在每一张脸上停了一秒。,RestRoom,Mixed_Emotion,,,
10580416,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580417,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580418,hide,hide,hide,hide,hide,喝完。然后该做什么做什么。,RestRoom,Mixed_Emotion,,,
10580419,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580420,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580421,hide,hide,hide,hide,hide,"就两句话。没有训话。没有鼓励。没有""明天很重要""。没有""你们都很努力""。没有。只有两句话。她说""喝完""的时候，语气和平时说""关门""一样。但她端起第一杯茶的动作——不是端，是捧。两只手捧着茶杯，像捧一只小鸟。",RestRoom,Mixed_Emotion,,,
10580422,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580423,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580424,hide,hide,hide,hide,hide,育子第二个端起。然后是紫。然后是夏实。然后是彩和瞳——两个人同时伸手，拿了相邻的两杯。景子端起来的时候，茶面晃了一下，但她很快稳住了。春奈最后一个。她端起茶杯的时候，看了一眼雪代。雪代没有看她。雪代在喝茶。,RestRoom,Mixed_Emotion,,,
10580425,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580426,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580427,hide,hide,hide,hide,hide,茶很烫。没有人说话。只有喝茶的声音——很轻的啜饮声。杯沿碰到牙齿的细微声响。大麦茶的焦香填满了整个休息室。外面的走廊是空的。俱乐部还没开门。招牌灯还没亮。在这个下午，在十二杯茶之间，世界被缩小成了这个房间。,Corridor,Mixed_Emotion,,,
10580428,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
