ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10330501,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330502,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330503,hide,hide,hide,hide,hide,傍晚七点。休息室角落——紫自己围出来的一块地方。深紫色布帘从天花板的管道上挂下来，用夹子固定，隔出两叠榻榻米大的空间。一张小圆桌，两把椅子。桌上铺着黑丝绒——布帘和丝绒都是她自己从二手店淘的。塔罗牌放在上面。牌旧了，边角磨圆了。空气里有鼠尾草燃烧过的焦甜味。她今天把鸟笼从公寓拎来了——那只乌鸦蹲在里面，偶尔抖一下翅膀。雪代不让她带进俱乐部。但今天紫说乌鸦在家里一直叫，她不忍心。就带来了。雪代经过的时候看了一眼。没说话。没说话就是默许——至少今天。,RestRoom,Silent_Night,,,
10330504,hide,hide,hide,hide,hide,紫今天没有像平时那样笑着招呼。她坐在桌子后面，手指在牌堆上轻轻划了一圈。,RestRoom,Silent_Night,,,
10330505,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10330506,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10330507,hide,hide,hide,hide,hide,你要占什么。,RestRoom,Silent_Night,,,
10330508,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10330509,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10330510,hide,hide,hide,hide,hide,……不知道。你翻吧。,RestRoom,Silent_Night,,,
10330511,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10330512,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10330513,hide,hide,hide,hide,hide,她点头。洗牌。手法很熟——牌在她手指间像水流过去一样，没有一张掉出来。她把牌放在桌子中间。让我切一次。然后翻开第一张。,RestRoom,Unreal_Memory,,,
10330514,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330515,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330516,hide,hide,hide,hide,hide,她停了。手停在半空中。看着那张牌，脸上的表情从随意变成了空白。不是惊讶。是空白。像一个音乐家在乐谱上看到一个不存在的音符。,RestRoom,Unreal_Memory,,,
10330517,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330518,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330519,hide,hide,hide,hide,hide,这不是我的牌。,RestRoom,Unreal_Memory,,,
10330520,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330521,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330522,hide,hide,hide,hide,hide,她翻开整副牌开始翻。一张一张地翻。翻到第二十三张的时候又停住了。拿出其中一张——和第一张一样。是她从来没见过的一张。塔罗牌的标准尺寸，但画风完全不同。不是常见的图案。是一个女人的侧脸，闭着眼睛，头发散在肩上。背景是黑色的，但女人身上有一条很细的白线从头顶延伸到心脏。,RestRoom,Unreal_Memory,,,
10330523,hide,hide,hide,hide,hide,牌面下方印了一行很小的字。不是日语。不是英语。是希腊字母——Thanatos。,RestRoom,Unreal_Memory,,,
10330524,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330525,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330526,hide,hide,hide,hide,hide,"死神。但不是塔罗的死神牌。是另一副牌。这副牌叫""沉默之塔""。只有二十二张。这张是额外的。第二十三张。不存在。",RestRoom,Unreal_Memory,,,
10330527,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
