ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10030401,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10030402,hide,hide,hide,hide,hide,第三天傍晚六点十五分，我穿过“十二飞鸟”那条漫长的走廊。,Corridor,Mystery_Box,,,
10030403,hide,hide,hide,hide,hide,壁灯刚点亮不久，暖黄色的光线还在适应期，红色皮革的家具带来高级的质感。,Corridor,Mystery_Box,,,
10030404,hide,hide,hide,hide,hide,空气里有新换的香薰气味——沉静的白檀混着一丝不易察觉的冷杉，像是刻意要压下什么更浓郁的残留。,Corridor,Mystery_Box,,,
10030405,hide,hide,hide,hide,hide,我正核对过去两天的财务表时，一个声音从转角书架旁传来。,Corridor,Unreal_Memory,,,
10030406,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,声音平稳清晰
10030407,hide,hide,hide,hide,hide,黑羽经理，晚上好。,Corridor,Unreal_Memory,,,
10030408,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10030409,hide,hide,hide,hide,hide,她穿着一身闪亮高级的银色奢侈品连衣裙，和周围的家具相映衬。,Corridor,Unreal_Memory,,,
10030410,hide,hide,hide,hide,hide,她手里端着白瓷咖啡杯，举止很优雅。,Cafe,Unreal_Memory,,,
10030411,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,微微欠身
10030412,hide,hide,hide,hide,hide,请允许我正式自我介绍。十一月的“银鹮”，神宫寺丽莎。,Cafe,Unreal_Memory,,,
10030413,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10030414,hide,hide,hide,hide,hide,她递过一张名片。纸质厚实，只印着名字和俱乐部内线号码，右下角有个小小的烫金鹤纹。,Cafe,Unreal_Memory,,,
10030415,hide,hide,hide,hide,hide,我接过名片时，她向前半步，声音压低到刚好能听清：,Cafe,Unreal_Memory,,,
10030416,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10030417,hide,hide,hide,hide,hide,简单自我介绍一下，我之前是银座的高级公关，所以非常擅长金融相关的业务。,Cafe,Unreal_Memory,,,
10030418,hide,hide,hide,hide,hide,如果经理你有相关的诉求也可以来找我，我的客人们能够提供很多情报。,Cafe,Mystery_Box,,,
10030419,hide,hide,hide,hide,hide,你知道的，很多时候，赚取信息差的利润要比一丝不苟的工作要简单的多。,Cafe,Mystery_Box,,,
10030420,hide,hide,hide,hide,hide,对了，我的一位客人，某风投基金合伙人，最近推荐了一种新兴数字资产。,Cafe,Mystery_Box,,,
10030421,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030422,hide,hide,hide,hide,hide,她从西装内袋取出一张黑色卡片，尺寸只有名片一半。,Cafe,Mystery_Box,,,
10030423,hide,hide,hide,hide,hide,卡片上面用暗红色印着一只展翅的凤凰，下方是“Phoenix Coin”的英文字样。,Cafe,Mystery_Box,,,
10030424,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030425,hide,hide,hide,hide,hide,基于区块链，但采用零知识证明协议，交易完全匿名。,Cafe,Mystery_Box,,,
10030426,hide,hide,hide,hide,hide,特别适合现金流……不规则的行业。如果您有兴趣——,Cafe,Mystery_Box,,,
10030427,白鹤姬·桂原雪代,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030428,hide,hide,hide,hide,hide,丽莎。,Cafe,Mystery_Box,,,
10030429,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030430,hide,hide,hide,hide,hide,那声音表面温柔，但是透过那个温柔你能感受到温柔下的冰冷，像刀刃划过冰面。,Cafe,Coming_Dangerous,,,
10030431,hide,hide,hide,hide,hide,昨天的记忆在脑海里猛地苏醒。,Cafe,Coming_Dangerous,,,
10030432,hide,hide,hide,hide,hide,神宫寺丽莎的手指停在半空，咖啡杯里的液体晃动了一下。,Cafe,Coming_Dangerous,,,
10030433,hide,hide,hide,hide,hide,我们同时转头。,Cafe,Coming_Dangerous,,,
10030434,hide,hide,hide,hide,hide,桂原雪代站在十步外的走廊阴影里。她穿着墨色的和服，头发梳得一丝不苟，脸上没有任何表情。,Corridor,Coming_Dangerous,,,
10030435,hide,hide,hide,hide,hide,她走过来，木屐敲击地板的声音在空旷走廊里异常清晰。,Corridor,Coming_Dangerous,,,
10030436,hide,hide,hide,hide,hide,嗒，嗒，嗒。,Corridor,Coming_Dangerous,,,
10030437,hide,hide,hide,hide,hide,停在神宫寺丽莎面前。,Corridor,Coming_Dangerous,,,
10030438,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,目光落在黑色卡片上
10030439,hide,hide,hide,hide,hide,我说过，不要在走廊谈这些。,Corridor,Coming_Dangerous,,,
10030440,hide,hide,hide,hide,hide,尤其——,Corridor,Coming_Dangerous,,,
10030441,hide,hide,hide,hide,hide,不要向俱乐部内部人员推销你那些可笑的东西。,Corridor,Coming_Dangerous,,,
10030442,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10030443,hide,hide,hide,hide,hide,神宫寺丽莎低下头：“非常抱歉，我只是——”,Corridor,Coming_Dangerous,,,
10030444,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10030445,hide,hide,hide,hide,hide,就在这时，眼前令我们两个恐惧的“白鹤姬”突然笑了出来。,Corridor,Coming_Dangerous,,,
10030446,hide,hide,hide,hide,hide,那笑声清脆明亮，带着恶作剧得逞的欢快。,Corridor,Coming_Dangerous,,,
10030447,hide,hide,hide,hide,hide,与此同时，“她”抬手在耳后一揭——,Corridor,Coming_Dangerous,,,
10030448,hide,hide,hide,hide,hide,一层薄如蝉翼的透明膜被撕下。,Corridor,Coming_Dangerous,,,
10030449,hide,hide,hide,hide,hide,露出来的是一张完全不同的脸：二十三四岁，大眼睛，小虎牙，此刻正笑得弯起眼角。,Corridor,Coming_Dangerous,,,
10030450,？？？,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,用原本活泼的声线
10030451,hide,hide,hide,hide,hide,吓到了吧？吓到了吧？,Corridor,Coming_Dangerous,,,
10030452,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10030453,hide,hide,hide,hide,hide,新来的经理你好，我叫木岛春奈！,Corridor,Coming_Dangerous,,,
10030454,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10030455,hide,hide,hide,hide,hide,她晃了晃手中的透明薄膜，那东西在灯光下几乎看不见。,Corridor,Coming_Dangerous,,,
10030456,hide,hide,hide,hide,hide,她的腰带结法、走路的姿势，脚步的频率——都是精确的复制。,Corridor,Coming_Dangerous,,,
10030457,hide,hide,hide,hide,hide,但此刻，她放松站姿，整个人的气场完全变了，像是神社里狐狸幻化的古灵精怪小巫女。,Corridor,Coming_Dangerous,,,
10030458,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,向神宫寺丽莎眨眼
10030459,hide,hide,hide,hide,hide,丽莎姐的反应也很棒呢，手里的咖啡差点洒了哦。,Cafe,Coming_Dangerous,,,
10030460,hide,hide,hide,hide,hide,不过经理的反应更厉害……脸色都白了一瞬呢。,Cafe,Coming_Dangerous,,,
10030461,hide,hide,hide,hide,hide,这两天白鹤姐到底对你做了什么呀？,Cafe,Coming_Dangerous,,,
10030462,hide,hide,hide,hide,hide,,Cafe,Coming_Dangerous,,,
10030463,hide,hide,hide,hide,hide,她凑近一步，眼神里闪着好奇的光。,Cafe,Coming_Dangerous,,,
