ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10190701,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190702,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190703,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190704,hide,hide,hide,hide,hide,回到公寓的时候月亮变红了。,Apartment,Silent_Night,,,
10190705,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190706,hide,hide,hide,hide,hide,百叶窗外，天空干干净净。唯独月亮是铁锈的颜色。新闻里说这是大气中的尘埃折射——日本海一侧火山喷发的灰烬飘到了关西上空。不管什么原理。红月亮就是红月亮。,Apartment,Silent_Night,,,
10190707,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190708,hide,hide,hide,hide,hide,我躺在床上。把佐藤给的资料翻开。,Apartment,Silent_Night,,,
10190709,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190710,hide,hide,hide,hide,hide,山下达彦。四十一岁。不动产公司。死亡时间凌晨一点十五分。倒在自家公寓楼下的停车场。太阳穴瘀伤。和铃木四郎的死法一样。和再之前两个人的一样。,Apartment,Silent_Night,,,
10190711,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190712,hide,hide,hide,hide,hide,我把四个名字竖着写。,Apartment,Silent_Night,,,
10190713,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190714,hide,hide,hide,hide,hide,铃木四郎。,Apartment,Silent_Night,,,
10190715,hide,hide,hide,hide,hide,上野洋介。,Apartment,Silent_Night,,,
10190716,hide,hide,hide,hide,hide,加藤文隆。,Apartment,Silent_Night,,,
10190717,hide,hide,hide,hide,hide,山下达彦。,Apartment,Silent_Night,,,
10190718,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190719,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190720,hide,hide,hide,hide,hide,四个客人。四个在俱乐部消费过大量Phoenix Coin的客人。四具倒在东京不同角落的尸体。,Apartment,Silent_Night,,,
10190721,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190722,hide,hide,hide,hide,hide,然后我写横线。在名字旁边画了一个问号。,Apartment,Silent_Night,,,
10190723,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190724,hide,hide,hide,hide,hide,第一个问号连向——桂原雪代。,Apartment,Silent_Night,,,
10190725,hide,hide,hide,hide,hide,第二个问号连向——神宫寺丽莎。,Apartment,Silent_Night,,,
10190726,hide,hide,hide,hide,hide,第三个问号连向——（空白）,Apartment,Silent_Night,,,
10190727,hide,hide,hide,hide,hide,第四个——（空白）,Apartment,Silent_Night,,,
10190728,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190729,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190730,hide,hide,hide,hide,hide,第三个和第四个名字没写。不是不知道。是还没够确认。星野葵的药瓶在旁边。美咲蔷薇的寄存票在旁边。两件事在黑暗里像两条互不相识的平行线。但我几乎可以确定它们会在某个还没到来的点上相交。,Apartment,Silent_Night,,,
10190731,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190732,hide,hide,hide,hide,hide,红月亮照在记事本上。把第一个名字——铃木四郎——的笔迹照得像干掉的旧血。,Apartment,Silent_Night,,,
10190733,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190734,hide,hide,hide,hide,hide,翻盖机再次震动。,Apartment,Silent_Night,,,
10190735,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190736,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190737,hide,hide,hide,hide,hide,"不是佐藤。是一个我在通讯录里存为""不明""的号码。没有来电显示。震动了三下——然后停了。没有留言，没有文字。只有三下。",Apartment,Silent_Night,,,
10190738,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190739,hide,hide,hide,hide,hide,我看着屏幕上的未接来电。窗外红色的月亮一点一点移过百叶窗的缝隙。,Apartment,Silent_Night,,,
10190740,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190741,hide,hide,hide,hide,hide,我接通了回拨。没等对方接听就挂断。,Apartment,Silent_Night,,,
10190742,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190743,hide,hide,hide,hide,hide,不管那个人是谁。他不需要我的声音。他只需要知道——我还活着。,Apartment,Silent_Night,,,
10190744,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
