ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10010101,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10010102,hide,hide,hide,hide,hide,夕阳将天空染成暗金与绛紫的渐变色。,Club_away,Mixed_Emotion,,,
10010103,hide,hide,hide,hide,hide,日本街头的街灯此时尚未亮起，阴影正慢慢沿着街道爬行。,Club_away,Mixed_Emotion,,,
10010104,hide,hide,hide,hide,hide,这里分明是大阪最繁华的地段，但是这条街上却出奇地没有什么人。,Club_away,Mixed_Emotion,,,
10010105,hide,hide,hide,hide,hide,可就在隔壁，御堂筋与心斋桥的交汇处，霓虹的河流沿着街道奔涌。,Club_away,Mixed_Emotion,,,
10010106,hide,hide,hide,hide,hide,在那里，人群如潮水般涌动，带着关西特有的喧嚣。,Club_away,Mixed_Emotion,,,
10010107,hide,hide,hide,hide,hide,毕竟大阪最昂贵的地段，每平方米土地都浸泡着躁动。,Club_away,Mixed_Emotion,,,
10010108,hide,hide,hide,hide,hide,可只需拐进一条岔路，仅仅二十步，世界就开始失声。,Club_away,Mixed_Emotion,,,
10010109,hide,hide,hide,hide,hide,连气味也随之变化，章鱼烧的焦香消失，取而代之的是一种陈旧纸张与干燥木材混合的气味。,Club_away,Mixed_Emotion,,,
10010110,hide,hide,hide,hide,hide,更深层处，隐约能嗅到线香的灰烬、以及某种甜腻到近乎腐败的花香。,Club_away,Slow_Lure,,,
10010111,hide,hide,hide,hide,hide,这也就是我现在所在的地方，这条地图上标注为“鹤羽小路”的小巷子。,Club_away,Slow_Lure,,,
10010112,hide,hide,hide,hide,hide,不时有不明所以的外国游客路过这里四处好奇打探，但是无功而返。,Club_away,Slow_Lure,,,
10010113,hide,hide,hide,hide,hide,而我要去的“十二飞鸟”俱乐部就藏在这里。,Club_away,Slow_Lure,,,
10010114,hide,hide,hide,hide,hide,“十二飞鸟”俱乐部没有招牌。,Club_outside,Slow_Lure,,,
10010115,hide,hide,hide,hide,hide,至少没有寻常意义上的招牌。,Club_outside,Slow_Lure,,,
10010116,hide,hide,hide,hide,hide,它占据的是一栋五层高的和风现代建筑，体量与周围低矮的商铺相比堪称巨物。,Club_outside,Slow_Lure,,,
10010117,hide,hide,hide,hide,hide,但你的眼睛会下意识地滑过它。,Club_outside,Slow_Lure,,,
10010118,hide,hide,hide,hide,hide,这不是因为它隐蔽——它就在巷子尽头，占据着最好的转角位置,Club_outside,Slow_Lure,,,
10010119,hide,hide,hide,hide,hide,——而是因为它的设计遵循着某种违背视觉逻辑的原则。,Club_outside,Slow_Lure,,,
10010120,hide,hide,hide,hide,hide,设计师刻意拆除了所有突出的装饰线条。,Club_outside,Slow_Lure,,,
10010121,hide,hide,hide,hide,hide,没有屋檐，没有阳台，没有空调外机——所有现代建筑无法避免的“凸起”都被隐藏或整合。,Club_outside,Slow_Lure,,,
10010122,hide,hide,hide,hide,hide,它就那样立在那里，像一座刻意被城市遗忘的墓碑。,Club_outside,Slow_Lure,,,
10010123,hide,hide,hide,hide,hide,而我此时，正努力平复自己的心情，准备踏入这座墓室……,Club_outside,Mixed_Emotion,,,
10010124,hide,hide,hide,hide,hide,我知道自己平复心情的尝试并不算成功,Club_outside,Mixed_Emotion,,,
10010125,hide,hide,hide,hide,hide,——我察觉到我的左手此时垂在身侧，指尖微微颤动，像是在模拟扣动扳机的动作。,Club_outside,Mixed_Emotion,,,
10010126,hide,hide,hide,hide,hide,那是我紧张的时候的下意识的动作。,Club_outside,Coming_Dangerous,,,
10010127,hide,hide,hide,hide,hide,不过好在这个下意识动作的含义应该只有我自己知道。,Club_outside,Coming_Dangerous,,,
10010128,hide,hide,hide,hide,hide,门就在那里。,Club_door,Coming_Dangerous,,,
10010129,hide,hide,hide,hide,hide,沉默着，等待着。,Club_door,Coming_Dangerous,,,
10010130,hide,hide,hide,hide,hide,和这栋建筑一样。,Club_door,Coming_Dangerous,,,
10010131,hide,hide,hide,hide,hide,但是整个大阪只有极少数人知道，这扇门的背后有多危险,Club_door,Coming_Dangerous,,,
10010132,hide,hide,hide,hide,hide,——比如像我这样，在大阪工作的警察。,Club_door,Coming_Dangerous,,,
10010133,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
