ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560301,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10560302,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10560303,hide,hide,hide,hide,hide,早上七点。翻盖机在床头柜上震动。不是加密消息的节奏——加密消息是三短一长。这个是五下连续震动。是Linda的私人信号。我拿起翻盖机。屏幕亮了。一条短信。没有署名。,RestRoom,Mixed_Emotion,,,
10560304,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560305,翻盖机屏幕,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560306,hide,hide,hide,hide,hide,「明晚八点。我的人在外面。信号——招牌灯闪三次。三次之后。冲。L」,RestRoom,Mixed_Emotion,,,
10560307,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560308,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560309,hide,hide,hide,hide,hide,我把短信读了三遍。然后删除。翻盖机的按键在拇指下发出很轻的嘀嘀声。每按一下，屏幕就暗一点。删完了。屏幕恢复待机画面——一个蓝色的底色，白色的时间。七点零三分。窗外的天已经亮了。不是晴天——是阴天。云层很厚，但很亮。那种把光闷在里面的亮。公寓里有很淡的咖啡味——速溶的，昨晚喝了一半放在桌上，现在凉了。凉咖啡的味道比热的时候更苦。,Apartment,Mixed_Emotion,,,
10560310,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10560311,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10560312,hide,hide,hide,hide,hide,我把翻盖机放进口袋。站起来。走到窗边。拉开百叶窗。街对面那棵歪掉的树还在。自动贩卖机的灯还在闪——白天看不到，但我知道它在闪。远处的电车线在阴天的光里发灰。不是银色的——是铅色的。我把手按在窗台上。窗台的油漆已经起皮了，摸上去有很细的颗粒感。这间公寓。住了两个月。明天之后——不管结果如何，大概不会再回来了。,Apartment,Mixed_Emotion,,,
10560313,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
