ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10430501,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10430502,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10430503,hide,hide,hide,hide,hide,大厅里的灯光已经调暗了。不是停电——是紫调的。她说占卜的时候需要暗光。暗光里牌面会看得更清楚。其实是暗光里人能更放松——放松了就能说出更多东西。紫坐在吧台旁边，面前摊着她的塔罗牌。牌面朝下，排成三排。她在洗牌。洗得很慢。牌在她手里发出很轻的摩擦声。,Club_lobby,Silent_Night,,,
10430504,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430505,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430506,hide,hide,hide,hide,hide,"空气里有香的味道。不是香水——是她占卜前点的白鼠尾草。草烟很淡，有一点苦，有一点甜。她相信白鼠尾草能净化空气。其实净化的不是空气——是人的戒心。客人闻到这个味道，会觉得""这里很安全""。然后就开始说真话。",Club_lobby,Silent_Night,,,
10430507,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430508,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430509,hide,hide,hide,hide,hide,雪代从走廊进来。她在大厅中间停了一下。看着紫洗牌。然后她走过来。在紫对面坐下。不是平时那种跪坐——是盘腿坐。很放松。像是在老朋友家。,Corridor,Silent_Night,,,
10430510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430511,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430512,hide,hide,hide,hide,hide,晚宴那天——你给买家占卜。坐在主桌右手边的那个。,Corridor,Silent_Night,,,
10430513,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430514,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430515,hide,hide,hide,hide,hide,紫没有停下手里的牌。她继续洗。但眼睛抬起来了。看着雪代。,Corridor,Silent_Night,,,
10430516,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430517,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430518,hide,hide,hide,hide,hide,中东人。戴眼镜。右手无名指上有一个金戒指。,Corridor,Silent_Night,,,
10430519,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430520,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430521,hide,hide,hide,hide,hide,你查过了。,Corridor,Silent_Night,,,
10430522,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430523,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430524,hide,hide,hide,hide,hide,不是查。是看过名单。名单上写了——「阿拉伯联合酋长国。投资顾问。」投资顾问——就是毒枭。,Corridor,Silent_Night,,,
10430525,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430526,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430527,hide,hide,hide,hide,hide,雪代没有接话。她把白鼠尾草往旁边挪了一点。烟飘到另一边去了。现在她和紫之间没有烟了。只有牌。和暗光。,Corridor,Silent_Night,,,
10430528,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430529,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430530,hide,hide,hide,hide,hide,他信占卜。很信。信到每年会飞去伊斯坦布尔找一个吉普赛老妇人占一次。今年他没去——老妇人去年死了。他找不到替代的人。直到他看到了你的照片。,Corridor,Silent_Night,,,
10430531,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430532,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430533,hide,hide,hide,hide,hide,紫的手停了。牌在她手里分成两叠。一叠左手，一叠右手。她看着两叠牌。看了一会儿。然后把两叠牌合在一起。重新洗。,Corridor,Silent_Night,,,
10430534,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430535,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430536,hide,hide,hide,hide,hide,你要我占什么。,Corridor,Silent_Night,,,
10430537,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430538,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430539,hide,hide,hide,hide,hide,他要问——「这笔交易能不能成。」你的回答是——「能。但要选对人。」,Corridor,Silent_Night,,,
10430540,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430541,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430542,hide,hide,hide,hide,hide,紫把牌放在吧台上。没有翻开。她看着雪代。暗光里她的眼睛是很浅的褐色——像被水稀释过的茶。,Corridor,Silent_Night,,,
10430543,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430544,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430545,hide,hide,hide,hide,hide,「选对人」——是选村上。还是选你。,Corridor,Silent_Night,,,
10430546,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430547,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430548,hide,hide,hide,hide,hide,不要说名字。让他自己想。他想了谁，就是谁。,Corridor,Silent_Night,,,
10430549,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430550,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430551,hide,hide,hide,hide,hide,紫把牌翻过来。第一张——「正义」。一个女人举着剑，天平在另一只手里。她看着这张牌。看了很久。然后她把牌翻回去。面朝下。放回牌堆里。,Corridor,Silent_Night,,,
10430552,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430553,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430554,hide,hide,hide,hide,hide,雪代姐。你知道我占卜的规矩——每天第一次准。第二次一定错。,Corridor,Silent_Night,,,
10430555,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430556,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430557,hide,hide,hide,hide,hide,那天晚上你只占一次。给他的。只给他。,Corridor,Silent_Night,,,
10430558,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430559,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10430560,hide,hide,hide,hide,hide,紫站起来。走到吧台后面。拿出一瓶白鼠尾草精油。滴了一滴在手腕上。用手指揉开。精油的香味比草烟更浓，更尖锐。她揉着手腕，看着大厅里的吊灯。吊灯没开——但暗光里能看到它的轮廓。水晶的，很重。紫看着吊灯。看了很久。,Club_lobby,Silent_Night,,,
10430561,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
