ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560501,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10560502,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10560503,hide,hide,hide,hide,hide,傍晚五点半。SM专属区域还没营业。蔷薇站在她的座位旁边。手里拿着那本黑皮书。书已经翻到最后一页。她今天没有穿皮革紧身装——穿的是普通的黑色衬衫和长裤。头发放下来了，紫色的长发垂到腰。没有颈链。没有金属装饰。她看起来不像女王。像一个——档案管理员。一个工作了太久、看了太多秘密的档案管理员。,Corridor,Mystery_Box,,,
10560504,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560505,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560506,hide,hide,hide,hide,hide,空气里有皮革的味道。不是新的——是旧的、被很多次擦拭过的皮革。混着金属链的冷腥气。还有更淡的，蔷薇身上那种冷调香水——鸢尾根、广藿香、很淡的麝香。不是甜。是苦。苦到尽头有一点凉。,Corridor,Mystery_Box,,,
10560507,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560508,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560509,hide,hide,hide,hide,hide,黑皮书的最后一页。,Corridor,Mystery_Box,,,
10560510,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560511,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560512,hide,hide,hide,hide,hide,她把书转过来让我看。最后一页上不是文字——是一个名字。一个地址。一个日期。名字是「村上道也」。地址是大阪市郊的一个仓库。日期是三年前——雪鹤姬自杀前一周。旁边有一行小字。,Corridor,Mystery_Box,,,
10560513,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560514,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560515,hide,hide,hide,hide,hide,「三年前。村上道也在该仓库与制药公司代表会面。交易内容：G-Rebirth前体化学品。金额：两千万。见证人：如月冬雪（已故）。」,Corridor,Mystery_Box,,,
10560516,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560517,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560518,hide,hide,hide,hide,hide,我把这一页看了很久。字迹是蔷薇的——钢笔写的，紫色的墨水。墨水在「如月冬雪（已故）」那几个字上稍微用力了一点。纸被戳出一个小小的凹痕。,Corridor,Mystery_Box,,,
10560519,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560520,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10560521,hide,hide,hide,hide,hide,雪鹤姬不是自杀。是她发现村上和制药公司的交易。村上让黑帮去威胁她。她在泡泡浴室里——被逼着写遗书。然后被杀。伪装成自杀。,Bathroom_Jan,Slow_Lure,,,
10560522,hide,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
10560523,hide,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
10560524,hide,hide,hide,hide,hide,她把黑皮书合上。推到我面前。不是递——是推。像推一张牌。最后一张。,Bathroom_Jan,Mystery_Box,,,
10560525,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560526,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560527,hide,hide,hide,hide,hide,这本书。给你。情报的代价——已经付过了。不是用钱。是用你这两个月。你在俱乐部里做的每一件事。你帮过的每一个人。你赌过的每一个选择。都是代价。,Bathroom_Jan,Mystery_Box,,,
10560528,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560529,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560530,hide,hide,hide,hide,hide,她把书放在我手上。书很重。不是纸的重量——是秘密的重量。黑皮书的封面被磨得很旧了。边角露出了灰色的纸板。她看着我。紫色的眼睛里没有平时的算计。只有平静。,Bathroom_Jan,Mystery_Box,,,
10560531,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560532,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560533,hide,hide,hide,hide,hide,明天之后。我会离开。回我的世界。不是SM的世界——是情报的世界。但黑皮书——留在你那里。也许你能用到。也许你永远用不到。但它在。就够了。,Bathroom_Jan,Mystery_Box,,,
10560534,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560535,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560536,hide,hide,hide,hide,hide,她站起来。走到我面前。不是那种居高临下的距离——是平等的。她伸出手。不是握手。是把我的手按在书上。压了一下。然后松开。,Bathroom_Jan,Mystery_Box,,,
10560537,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560538,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560539,hide,hide,hide,hide,hide,再见。经理。,Bathroom_Jan,Mystery_Box,,,
10560540,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
