ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10400301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10400302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10400303,hide,hide,hide,hide,hide,景子坐在休息室靠窗的位置。手里捏着一张学校的宣传单。纸很厚，印着彩色的照片——红砖教学楼、穿制服的孩子在操场上跑步。她把宣传单翻过来翻过去，纸在她手里发出很脆的响声。,RestRoom,Unreal_Memory,,,
10400304,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400305,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400306,hide,hide,hide,hide,hide,空气里有台风过后的那种特殊的清新——所有灰尘都被雨水打到了地上，现在正在慢慢蒸发。窗外有人用扫帚扫水的声音。一下，一下，很有节奏。,RestRoom,Unreal_Memory,,,
10400307,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400308,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400309,hide,hide,hide,hide,hide,小澪的学校下周开学。,RestRoom,Unreal_Memory,,,
10400310,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400311,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400312,hide,hide,hide,hide,hide,她把宣传单放在膝盖上。用手抚平折痕。她的手指在「全寄宿制」那几个字上停了很久。,RestRoom,Unreal_Memory,,,
10400313,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400314,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400315,hide,hide,hide,hide,hide,不是这里的学校。是奈良那边的。要坐两个小时的火车。,RestRoom,Unreal_Memory,,,
10400316,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400317,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400318,hide,hide,hide,hide,hide,窗外扫水的声音停了。大概是扫到尽头了。然后又从远处重新开始。一下，一下。,RestRoom,Unreal_Memory,,,
10400319,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400320,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400321,hide,hide,hide,hide,hide,全寄宿。一个月回来一次。,RestRoom,Unreal_Memory,,,
10400322,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400323,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400324,hide,hide,hide,hide,hide,她把宣传单叠起来。叠得很小。放进钱包里。钱包里有一张小澪的照片——是去年夏天拍的。小澪在公园里，举着一个比自己脸还大的棉花糖，笑得眼睛眯成一条线。,RestRoom,Unreal_Memory,,,
10400325,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400326,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400327,hide,hide,hide,hide,hide,我算过了。学费够。生活费够。周末不用去接她——因为周末她也在学校。她会有同学一起吃饭，一起写作业，一起在操场上跑。不会一个人在家等我。,RestRoom,Unreal_Memory,,,
10400328,hide,hide,hide,hide,hide,而且——黑田进不去。寄宿学校的门卫是二十四小时的。外人不可以随便进。,RestRoom,Unreal_Memory,,,
10400329,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400330,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400331,hide,hide,hide,hide,hide,她停了一下。手指在钱包的扣子上按了又松，松了又按。,RestRoom,Unreal_Memory,,,
10400332,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400333,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400334,hide,hide,hide,hide,hide,她不用知道妈妈在做什么。,RestRoom,Unreal_Memory,,,
10400335,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10400336,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
