ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10190501,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190502,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190503,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190504,hide,hide,hide,hide,hide,美咲蔷薇从来不在这个时间找我。她的区域在走廊的最深处。晚班还没开始，但她的房间灯已经亮了。,Corridor,Silent_Night,,,
10190505,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190506,hide,hide,hide,hide,hide,"我是路过时被叫住的。她倚在门框上，没穿演出服。一件珍珠灰的绸缎家居夹克。长发披下来的时候和平时的""夜鸢姬""判若两人。手里没有皮鞭，只有一张折叠的寄存票。",Corridor,Silent_Night,,,
10190507,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190508,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190509,hide,hide,hide,hide,hide,帮我取个东西。,Corridor,Silent_Night,,,
10190510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190511,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190512,hide,hide,hide,hide,hide,……什么。,Corridor,Silent_Night,,,
10190513,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190514,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190515,hide,hide,hide,hide,hide,她把票递过来。黑底金字——涩谷站内的自助寄存柜。和她送客人出门时递名片的方式同一种手势。两根手指夹着，从下往上，碰到你手心的最后一刻会顿半拍。这是她的节拍。,Corridor,Silent_Night,,,
10190516,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190517,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190518,hide,hide,hide,hide,hide,一个箱子。不大。别打开。,Corridor,Silent_Night,,,
10190519,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190520,hide,hide,hide,hide,hide,我看了眼寄存票的日期。三天前存的。上头的号码——B-17。,Corridor,Silent_Night,,,
10190521,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190522,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190523,hide,hide,hide,hide,hide,"就是她录第一批情报的同一天。B排在十六号柜的前面。不用问也知道她在来之前就计划好了。她不是突然说""帮我取个东西""的人。她的每一个委托都有前奏。只是你通常要到事情结束之后才能听出那个前奏。",Corridor,Mystery_Box,,,
10190524,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190525,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190526,hide,hide,hide,hide,hide,什么时候要。,Corridor,Mystery_Box,,,
10190527,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190528,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190529,hide,hide,hide,hide,hide,明天开柜时间结束前。,Corridor,Mystery_Box,,,
10190530,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190531,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190532,hide,hide,hide,hide,hide,她说完转身回了房间。门在身后合上之前又停了一下。,Corridor,Mystery_Box,,,
10190533,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190534,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190535,hide,hide,hide,hide,hide,——我不会让你白跑。,Corridor,Mystery_Box,,,
10190536,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190537,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190538,hide,hide,hide,hide,hide,"她把""白跑""两个字说得像交易词。但语气不是冷淡。是郑重。",Corridor,Mystery_Box,,,
10190539,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190540,hide,hide,hide,hide,hide,我把寄存票放进外套内袋。和增田的翻盖机同一层。左边是死亡，右边是委托。,Corridor,Mystery_Box,,,
10190541,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
