ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590501,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10590502,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10590503,hide,hide,hide,hide,hide,傍晚的天台上风很小。不是那种凛冽的风——是暮色带来的微风，从河那边吹过来，带着水汽和一点点远处的烟尘。天空从橙色渐变成深紫。西边还有最后一条光——很窄，很亮，像一只正在闭上的眼睛。,Rooftop,Unreal_Memory,,,
10590504,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590505,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590506,hide,hide,hide,hide,hide,我站在天台边缘。手插在口袋里。指尖碰到了那把黄铜钥匙——雪代给我的那把。钥匙被体温晤了两个月，早就没有金属的凉意了。现在它是温的。和手指一样的温度。,Rooftop,Unreal_Memory,,,
10590507,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590508,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590509,hide,hide,hide,hide,hide,天台的门开了。不是风推的——是人。脚步声很轻。布鞋踩在水泥地上的声音。我没有回头。但我知道是谁。她走路的节奏——那种不快不慢，每一步都精确的节奏——在这个俱乐部里只有一个人有。,Rooftop,Unreal_Memory,,,
10590510,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590511,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590512,hide,hide,hide,hide,hide,雪代走到我旁边。没有站得很近——隔了大概一臂的距离。她没有说话。我也没有说话。两个人站在暮色里。风把她身上的味道带过来——不是香水，是没有香味的洗衣液，和一点点纸烟。那种味道我闻过无数次。但今天它比平时更清晰。或者是因为今天最后一次。,Rooftop,Unreal_Memory,,,
10590513,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590514,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590515,hide,hide,hide,hide,hide,天空的颜色越来越深。那条金色的光带越来越窄。街上的路灯亮了。不是一下子全亮——是一盏一盏的，从近到远，沿着河岸排过去。暖黄色的光在柏油路面上画出椭圆形的光圈。,Rooftop,Unreal_Memory,,,
10590516,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590517,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590518,hide,hide,hide,hide,hide,雪代先开口。她的声音和平时一样平稳。但平稳里有某种平时没有的东西。不是颤抖——是某种更细微的停顿。在句子的开头和结尾之间，多了一点点空白。,Rooftop,Unreal_Memory,,,
10590519,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590520,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590521,hide,hide,hide,hide,hide,明天——你坐我右边。育子排的。,Rooftop,Unreal_Memory,,,
10590522,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590523,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590524,hide,hide,hide,hide,hide,她顿了一下。转过头看着街对面的公寓楼。那栋楼里的灯也在亮起来。一户一户地。,Apartment,Unreal_Memory,,,
10590525,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590526,白鹤姬·桂原雪代,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590527,hide,hide,hide,hide,hide,那个位置——光线好。,Apartment,Unreal_Memory,,,
10590528,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590529,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590530,hide,hide,hide,hide,hide,"她说""光线好""的时候，语气和平时说""关门""一样——很平，很稳。但她说完之后没有立刻走。她站在那里，看着街对面。看了一会儿。然后她转身。走到楼梯口的时候，停住了。",Apartment,Unreal_Memory,,,
10590531,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590532,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590533,hide,hide,hide,hide,hide,她没有回头。她的背影对着我。深蓝色的便装。头发披在肩上。没有戴发饰。楼梯口的绿色应急灯把她的影子投在墙上——很长，很淡。,Apartment,Unreal_Memory,,,
10590534,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590535,白鹤姬·桂原雪代,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590536,hide,hide,hide,hide,hide,台风那天晚上——你问过我一个问题。,Apartment,Unreal_Memory,,,
10590537,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590538,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590539,hide,hide,hide,hide,hide,我的手在口袋里握紧了那把钥匙。我知道她说的是哪个问题。那天晚上，茶室，烛火。她说了她杀过人。说了她的二十一年。说了她是真的反派。然后我问了一个问题。她没有回答。,Apartment,Unreal_Memory,,,
10590540,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590541,白鹤姬·桂原雪代,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590542,hide,hide,hide,hide,hide,"""他是谁""。我没回答。",Apartment,Unreal_Memory,,,
10590543,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590544,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10590545,hide,hide,hide,hide,hide,她停了一下。楼道里的声控灯灭了。她整个人沉入阴影里。只有天台上的暮色还照着她的背影——一个很模糊的轮廓。,Rooftop,Unreal_Memory,,,
10590546,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590547,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590548,hide,hide,hide,hide,hide,答案不重要。重要的是问的人。,Rooftop,Unreal_Memory,,,
10590549,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590550,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590551,hide,hide,hide,hide,hide,"她说这句话的时候，声音轻了。不是那种""放轻""——是某种更自然的，像是一个人在对自己说一句话，只是恰好被别人听到了。然后她走下楼梯。脚步声很轻。布鞋踩在铁梯子上的声音——一步，两步，三步。然后消失。",Rooftop,Unreal_Memory,,,
10590552,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590553,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
