ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10360301,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360302,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360303,hide,hide,hide,hide,hide,六点不到就醒了。不是闹钟——是某种闷在胸腔里的东西，像一根被拧紧的弦，在黎明前最暗的时刻开始震动。,Hospital,Silent_Night,,,
10360304,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360305,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360306,hide,hide,hide,hide,hide,"我从床底下拖出那个纸箱。搬家公司的箱子，侧面印着""衣物""两个字，但里面装的是六十天的笔记。用过的信封背面、俱乐部的预约表废纸、便利店收据的空白处——每一片能写字的纸都被我塞进去了。纸箱很重。不是纸的重量。是时间的。",Hospital,Silent_Night,,,
10360307,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360308,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360309,hide,hide,hide,hide,hide,我把它们全部倒出来。纸片像雪崩一样铺满了榻榻米。从床沿到窗台，从门缝到墙角，没有一寸地板是空白的。墨水的味道——有些是圆珠笔，有些是铅笔，有一张甚至是眉笔写的——混着旧纸的霉味和纸箱底层受潮后的酸气，被晨光照成一团能看见的东西。,Hospital,Silent_Night,,,
10360310,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360311,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360312,hide,hide,hide,hide,hide,我跪在纸堆中间，没有按时间顺序整理。就让它们乱着。像记忆本身就是乱的——不是一条线，是一堆碎片，互相压着，有些粘在一起撕不开。,Hospital,Silent_Night,,,
10360313,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360314,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10360315,hide,hide,hide,hide,hide,指尖碰到一张撕下来的日历纸。背面画了一个潦草的星号。第一天。我走进十二飞鸟俱乐部，走廊里的白檀和冷杉混在一起，十二个女人的名字写在预约表上——那时候她们只是名字。现在每一个名字都有气味。雪代是洗衣液的淡和纸烟的苦。南梨是婴儿洗衣液的奶甜。育子是樟脑丸。星野葵是咖啡。,Corridor,Silent_Night,,,
10360316,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10360317,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10360318,hide,hide,hide,hide,hide,手指在纸堆里翻。翻到一张信封背面，上面的字迹歪歪扭扭——是第一次和佐藤接头后记的要点，写得太急，有几个字自己都认不出来了。那时增田还活着。那时我以为卧底就是把看见的东西写下来。,Corridor,Silent_Night,,,
10360319,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
