ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10160601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160603,hide,hide,hide,hide,hide,深夜。所有人都走了。我去练习室拿下午遗落的清洁剂瓶。推开门。濑户瞳还坐在地板上。她披着一条毛巾，头发还是半干的。眼睛闭着。像是在听什么——空气的流动感，日光灯微弱的嘶嘶声。,Corridor,Silent_Night,,,
10160604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160605,hide,hide,hide,hide,hide,她听到门声的时候没有动，然后忽然睁开了眼睛。深褐色的瞳孔在昏暗的光线里非常清净，像是两池没有风的湖水，第一次直接看进我的眼里。,Corridor,Silent_Night,,,
10160606,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160607,双雀姬·濑户彩,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160608,hide,hide,hide,hide,hide,……姐姐。,Corridor,Silent_Night,,,
10160609,hide,hide,hide,hide,hide,刚才在这里跟你说的那些。,Corridor,Silent_Night,,,
10160610,hide,hide,hide,hide,hide,——谢谢。,Corridor,Silent_Night,,,
10160611,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160612,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160613,hide,hide,hide,hide,hide,她的声音不像她平时那样——不是断续的气音，不是彩替她说的，是一句完整的话。每个字之间有很短的间隔。像走在冰面上每一步都在确认冰不会裂开。,Corridor,Silent_Night,,,
10160614,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160615,hide,hide,hide,hide,hide,然后她站起来。走到墙边，把下午留下来的清洁剂瓶拿起来，递给我。手指碰到我手指的时候，她的指尖是凉的。只是短暂的接触。但递过来的时候，清洁剂瓶在她手里转了半圈——把标签那面朝向了我。标签上写着「柠檬味」。她多做了这个动作。不是必须的。是她自己想做的。,Corridor,Silent_Night,,,
10160616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160617,hide,hide,hide,hide,hide,她没有等我的回答。抱着毛巾走了出去，光脚踩在地板上一点声音也没有。走廊里的灯已经关了，只有墙角的应急灯把她的影子拉得很细很长。她走到走廊尽头的时候停了一下。回头看了我一眼。在黑暗中，那双深褐色的眼睛里有很微弱的反光——不是灯的反光，是眼睛自己的。那种反光只停留在有东西要流出来但还没流出的那一瞬间。,Corridor,Silent_Night,,,
10160618,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160619,hide,hide,hide,hide,hide,"然后她彻底消失在走廊尽头。练习室里只剩下我。和满墙镜子里濑户彩的倒影。那些倒影都是静止的，只有一个是活的——下午彩在镜子前说的那句话还挂在空气里：""像普通人一样""。",Corridor,Silent_Night,,,
10160620,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160621,hide,hide,hide,hide,hide,我低头看手里的清洁剂瓶。柠檬味。柠檬和清洁剂是两个味道，但她把标签转过来的时候，大概只是想让我看清楚。一个说不完整句子的人，用标签完成了她想说的话。,Corridor,Silent_Night,,,
10160622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160623,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
