ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550401,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550402,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550403,hide,hide,hide,hide,hide,下午两点。翻盖机在桌上震动。Linda的私人信号——五下连续震动。我翻开手机。屏幕上是一条短信。,RamenShop,Mixed_Emotion,,,
10550404,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550405,翻盖机屏幕,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550406,hide,hide,hide,hide,hide,「信号被阻断。Interpol的通讯频道被干扰了。可能是村上的人。明晚——可能晚几分钟。不是不来。是晚几分钟。L」,RamenShop,Mixed_Emotion,,,
10550407,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550408,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550409,hide,hide,hide,hide,hide,我把短信读了两遍。然后删除。翻盖机的按键在拇指下嘀嘀响。删完了。屏幕恢复待机画面。窗外有车经过——引擎声从左边来，到右边去，然后消失。公寓里有很淡的咖啡味。速溶的。凉的。还有更淡的——昨晚失眠时留在枕头上的汗味。咸的。微酸。,Apartment,Silent_Night,,,
10550410,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10550411,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10550412,hide,hide,hide,hide,hide,"几分钟。晚几分钟。在普通的夜晚——几分钟不算什么。但在明天晚上——几分钟足够一个人死三次。Linda说""不是不来""。我相信她。但""晚几分钟""和""不来""之间的差距——可能就是一个人的命。我把翻盖机放进口袋。站起来。走到窗边。街对面那棵歪掉的树还在。自动贩卖机的灯在白天看不到。但我知道它在闪。",Apartment,Silent_Night,,,
10550413,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
