ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10330401,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330402,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330403,hide,hide,hide,hide,hide,下午两点。还是上次那间储物间。但这次景子提前打扫过了——漂白水的气味还在，但地面是湿的，刚拖过。墙角啤酒箱重新码过了，整整齐齐。她站在窗边，背挺得很直。手里没有手机——手垂在身体两侧，手指是张开的。,Club_Storage,Silent_Night,,,
10330404,hide,hide,hide,hide,hide,阳光从窗户照进来，照在她侧脸上。她今天化了淡妆——不是上台的妆，是见人的妆。眉毛画得很仔细。,Club_Storage,Silent_Night,,,
10330405,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330406,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330407,hide,hide,hide,hide,hide,你问过我一件事。小澪的父亲是谁。我没回答。,Club_Storage,Silent_Night,,,
10330408,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330409,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330410,hide,hide,hide,hide,hide,她转过来。眼睛看着我。不是上次那种硬——是一种把东西放下了之后的静。,Club_Storage,Silent_Night,,,
10330411,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330412,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330413,hide,hide,hide,hide,hide,他是村上道也的人。不是村上本人。是村上手下的人。,Club_Storage,Silent_Night,,,
10330414,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330415,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330416,hide,hide,hide,hide,hide,空气里的漂白水味忽然变得很刺。或者不是气味变了，是我在那一秒的注意力被抽空了，只剩下感官在运作。,Club_Storage,Silent_Night,,,
10330417,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330418,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330419,hide,hide,hide,hide,hide,那时候我在新宿的一个酒吧上班。他经常来。不是客人——是来收保护费的。他跟我说他是警察。我当时不信。后来他拿证件给我看了。是真的。不是村上，是他的下属。姓林田。林田健一。,Club_Storage,Silent_Night,,,
10330420,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330421,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330422,hide,hide,hide,hide,hide,她停了一下。手指在窗台上摸了一下——窗台上有一个小缺口，水泥剥落了一点。,Club_Storage,Silent_Night,,,
10330423,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330424,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330425,hide,hide,hide,hide,hide,我们在一起两年。小澪出生之前他就消失了。调职。调到北海道。走之前他说会回来接我。然后每个月给我寄两万日元。寄了一年。第二年停了。第三年我在报纸上看到他的结婚启事。新娘不是北海道的人。是新宿的。他根本没离开过东京。,Club_Storage,Silent_Night,,,
10330426,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330427,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330428,hide,hide,hide,hide,hide,……你后来见过他吗。,Club_Storage,Silent_Night,,,
10330429,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330430,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330431,hide,hide,hide,hide,hide,她摇了摇头。但摇头之前顿了一下。,Club_Storage,Silent_Night,,,
10330432,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330433,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330434,hide,hide,hide,hide,hide,没见过。但我见过他的档案。在村上道也的办公室里。雪鹤姬死之后——我偷偷进过一次村上的办公室。佐藤帮的我。我在那间办公室里看到了一份人员名册。林田的名字在上面。职务——特别行动组。,Manager_Office,Silent_Night,,,
10330435,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330436,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330437,hide,hide,hide,hide,hide,她从口袋里拿出一样东西。一枚纽扣。警服上的那种，铜质，上面有樱花纹样。磨损很厉害，背面刻了两个字母：H.T。,Manager_Office,Silent_Night,,,
10330438,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330439,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330440,hide,hide,hide,hide,hide,林田的全名——林田秀人。H.T。这是他走之前留给小澪的。说以后凭这个找他。我从来没让女儿用过。,Manager_Office,Silent_Night,,,
10330441,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330442,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330443,hide,hide,hide,hide,hide,她把纽扣放在窗台上。铜扣子在阳光下反了一点光，很小，一闪就没了。,Manager_Office,Silent_Night,,,
10330444,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330445,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330446,hide,hide,hide,hide,hide,我把这个给你。不是因为我要你帮我对付他。是因为——如果有一天你要和村上对面。林田是那个办公室里最了解我的人。他知道小澪。知道我在这里上班。知道一切。,Manager_Office,Silent_Night,,,
10330447,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330448,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330449,hide,hide,hide,hide,hide,她转身走向门口。这次回头了。,Manager_Office,Silent_Night,,,
10330450,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330451,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10330452,hide,hide,hide,hide,hide,保护好你自己。小澪还需要一个安全的俱乐部。,Manager_Office,Silent_Night,,,
10330453,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
