ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10500501,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500502,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500503,hide,hide,hide,hide,hide,第三遍。这一次她没有停。从头到尾。前奏。主歌。副歌。尾奏。每一个音都准了。每一个字都稳了。唱到那个被改过的字的时候——她唱的是「光」。不是用力的那种唱法。是轻轻的。像在告诉一个很远地方的人——这边亮了。,Corridor,Silent_Night,,,
10500504,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500505,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500506,hide,hide,hide,hide,hide,唱完了。最后一个音在排练室里回荡了很久。旧钢琴的共鸣箱把那个音放大了，然后慢慢收回去。像潮水退掉。夏实的手还按在最后一个键上。高音。很细。在空气里悬着。,Corridor,Silent_Night,,,
10500507,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500508,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500509,hide,hide,hide,hide,hide,排练室里有钢琴蜡、旧木头、洗衣粉、还有她唱完之后的气息——那种很淡的、温热的、从胸腔里呼出来的气。不是香水。是人的味道。一个人刚唱完一首歌之后，身上会有的那种味道。,Corridor,Silent_Night,,,
10500510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500511,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500512,hide,hide,hide,hide,hide,今晚用光。,Corridor,Silent_Night,,,
10500513,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500514,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500515,hide,hide,hide,hide,hide,四个字。她说的时候手指还在琴键上。按着那个高音不放。琴音在空气里持续——不是声音还在响，是耳朵里还有。那种高音消失之后留下的空白，有时候比声音本身更响。,Corridor,Silent_Night,,,
10500516,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500517,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500518,hide,hide,hide,hide,hide,她慢慢松开手指。琴键弹回来。高音消失了。排练室里很静。窗外的光已经开始偏西了。地板上的光带从中间移到了墙角。灰尘还在光里飘。慢悠悠的。不急。,Corridor,Silent_Night,,,
10500519,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500520,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500521,hide,hide,hide,hide,hide,"以前在偶像团的时候——舞台灯光全是别人控制的。红色的。蓝色的。金色的。导演说——""夏实，唱到这里的时候灯光会变。你站到光里去。""我一直站在光里。但我不知道那个光是谁打的。为了什么打的。打完以后要去哪里。",Corridor,Silent_Night,,,
10500522,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500523,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500524,hide,hide,hide,hide,hide,她把脚从踏板上收回来。赤脚踩在旧木地板上。脚趾蜷了一下——木地板有点凉。,Corridor,Silent_Night,,,
10500525,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500526,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500527,hide,hide,hide,hide,hide,今晚的光——我自己打。,Corridor,Silent_Night,,,
10500528,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500529,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500530,hide,hide,hide,hide,hide,她笑了一下。不是偶像的笑。是某种更小的——嘴角只动了一点点。但眼睛里有全部。她站起来。走到钢琴旁边，把乐谱整理好。一张一张。铅笔字朝上。然后她把乐谱放回窗台上。用一块橡皮压住。橡皮是旧的——上面印着某个偶像团体的logo，已经磨掉了一半。,Corridor,Silent_Night,,,
10500531,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500532,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500533,hide,hide,hide,hide,hide,如果今晚我唱完了——如果一切都结束了——我想去海边。,Corridor,Silent_Night,,,
10500534,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500535,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500536,hide,hide,hide,hide,hide,她看着窗外。排练室的窗户看不到海。只能看到对面楼的墙壁。灰色的。有几根电线从上面拉过去。电线上停着一只鸟。不是飞鸟。是普通的麻雀。,Corridor,Unreal_Memory,,,
10500537,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500538,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500539,hide,hide,hide,hide,hide,不是偶像巡演去的那种海。是普通的。有渔船的。海腥味很重的那种。坐在防波堤上。什么都不做。就听海。,Corridor,Unreal_Memory,,,
10500540,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500541,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500542,hide,hide,hide,hide,hide,门口有脚步声。育子端着一杯大麦茶站在那儿。她大概在门口站了一会儿了。杯里的茶已经不冒热气了。,Corridor,Unreal_Memory,,,
10500543,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500544,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500545,hide,hide,hide,hide,hide,……夏实姐。那个——刚才那段。能教我吗。就那几个音。我想学。,Corridor,Unreal_Memory,,,
10500546,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500547,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500548,hide,hide,hide,hide,hide,夏实转过头。看着育子。然后笑了——不是偶像的笑，也不是刚才那种很小的笑。是第三种。她拍了拍琴凳旁边空着的位置。育子端着茶坐下去。茶杯放在钢琴顶上。夏实把育子的手指放在琴键上——两个手指，两个白键。一个高，一个低。,Corridor,Unreal_Memory,,,
10500549,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
