ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580601,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10580602,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10580603,hide,hide,hide,hide,hide,深夜九点。大厅灯火通明。所有人都在。景子在铺桌布。夏实在测试音响。紫在放花。春奈在检查窗户。葵在吧台后面——两盘磁带排好了。中间的空位还在。蔷薇站在门口。Linda在天台和外面的人用手势沟通。彩和瞳在检查走廊。育子在大厅正中央——站在那里。不是帮忙。是站着。站在所有人中间。,Corridor,Silent_Night,,,
10580604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10580605,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10580606,hide,hide,hide,hide,hide,空气里有桌布的淀粉味。音响清洁剂的酒精味。花的青草味。皮革味。金属腥气。皂角味。洗衣液柠檬味。雪茄叶味。所有人的味道都在。但气氛不对。不是紧张——紧张是向内的。这是另一种——某种东西向外裂开了。不是看得见的裂缝。是感觉。像一面镜子被敲了一下。还没碎。但裂纹已经在了。,Corridor,Coming_Dangerous,,,
10580607,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10580608,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10580609,hide,hide,hide,hide,hide,雪代站在吧台旁边。她没有动手。只是看。她的眼睛在每一个人身上停留——景子。夏实。紫。春奈。葵。蔷薇。Linda。彩和瞳。育子。然后她看着我。她的嘴唇动了一下。想说点什么。但没有说。,Corridor,Coming_Dangerous,,,
10580610,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10580611,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10580612,hide,hide,hide,hide,hide,育子走到我旁边。她的手里没有东西。只是站着。脚尖向内并拢。她看着大厅里所有人。然后看着我。,Club_lobby,Coming_Dangerous,,,
10580613,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580614,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580615,hide,hide,hide,hide,hide,经理。我感觉——有什么东西不对。不是人。是东西。某个东西不在它该在的位置。像桌子被挪了一厘米。你看着它——你知道它被挪了。但你看不出来。只是感觉。,Club_lobby,Coming_Dangerous,,,
10580616,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580617,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580618,hide,hide,hide,hide,hide,她停了一下。把手指在裙子边上捏了一下。,Club_lobby,Coming_Dangerous,,,
10580619,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580620,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580621,hide,hide,hide,hide,hide,但没关系。就算有什么不对——我也会在。正门。不是后巷。,Club_lobby,Coming_Dangerous,,,
10580622,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580623,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580624,hide,hide,hide,hide,hide,她走了。回到大厅中央。我站在角落里。手插在口袋里。口袋里是黄铜钥匙。凉的。和第一天一样凉。我抬头看吧台。两盘磁带排好了。空位在中间。空位在灯光下——像一个没说完的句子。像一个没补上的缺口。,Club_lobby,Coming_Dangerous,,,
10580625,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
