ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10570302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10570303,hide,hide,hide,hide,hide,早上七点。天台上只有Linda和我。她叼着一根没点的雪茄。手里拿着翻盖机。屏幕亮着。上面是一串加密代码。她看了一会儿。然后把翻盖机合上。塞进口袋。雪茄在嘴角动了一下。不是咬——是调整位置。她的习惯。,Rooftop,Mixed_Emotion,,,
10570304,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570305,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570306,hide,hide,hide,hide,hide,天台的空气很冷。秋天的早晨——冷是干的。不是湿冷。风里有远处电车轨道的臭氧味。还有更远的——河水的味道。很淡。还有Linda身上的雪茄叶味。生的。草本的。带一点泥土气。,Rooftop,Mixed_Emotion,,,
10570307,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570308,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570309,hide,hide,hide,hide,hide,干扰还在。今天比昨天更强。不是普通的信号干扰——是定向的。针对Interpol的通讯频道。有人知道我们的频率。不是猜测——是确切知道。,Rooftop,Mixed_Emotion,,,
10570310,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570311,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570312,hide,hide,hide,hide,hide,她把雪茄从嘴里拿出来。用手指夹着。手指很稳。但她的冰蓝色眼睛在天台的光里显得比平时暗。,Rooftop,Mixed_Emotion,,,
10570313,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570314,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570315,hide,hide,hide,hide,hide,明天晚上。信号可能延迟。不是不来——是晚。三分钟。最多三分钟。三分钟之后——不管有没有信号。我的人会冲进来。因为三分钟是底线。超过三分钟——就不是延迟了。是失败。,Rooftop,Mixed_Emotion,,,
10570316,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570317,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570318,hide,hide,hide,hide,hide,她停了一下。把雪茄放回嘴里。没有点。只是叼着。,Rooftop,Mixed_Emotion,,,
10570319,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570320,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570321,hide,hide,hide,hide,hide,三分钟。在普通场合——喝一杯咖啡的时间。在明天晚上——可能是一个人倒下、另一个人站起来的时间。你能撑住吗。三分钟。,Cafe,Mixed_Emotion,,,
10570322,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10570323,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10570324,hide,hide,hide,hide,hide,……撑得住。,Cafe,Mixed_Emotion,,,
10570325,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10570326,朱雀姬·Linda,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10570327,hide,hide,hide,hide,hide,你每次说撑得住——都是骗人的。但这次——你必须撑住。不是为了你。是为了所有人。如果你倒了——所有人都会倒。不是比喻。是顺序。你第一个。然后雪代。然后春奈。然后我。然后所有人。所以你——第一个——不能倒。,Cafe,Mixed_Emotion,,,
10570328,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10570329,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10570330,hide,hide,hide,hide,hide,她转身。走了。雪茄的烟雾没有——因为没点。但她的背影在晨光里拉得很长。走到天台门口。她回头。,Rooftop,Mixed_Emotion,,,
10570331,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570332,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570333,hide,hide,hide,hide,hide,三分钟。记住。三分钟。,Rooftop,Mixed_Emotion,,,
10570334,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
